popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
2.22045e-16,0.136397,2.22045e-16,-1.43186e-16,5.87275e-16,2.22045e-16,-0.0469608,2.22045e-16,-1.43186e-16,5.87275e-16,All
4.65027e-16,0.136397,4.65027e-16,9.97964e-17,8.30258e-16,4.6854e-16,-0.0469608,4.6854e-16,1.03309e-16,8.33771e-16,All
9.73905e-16,0.136397,9.73905e-16,3.45742e-16,1.60207e-15,9.88674e-16,-0.0469608,9.88674e-16,3.50985e-16,1.62636e-15,All
2.03965e-15,0.136397,2.03965e-15,7.24086e-16,3.35521e-15,2.08622e-15,-0.0469608,2.08622e-15,7.40619e-16,3.43182e-15,All
4.27162e-15,0.136397,4.27162e-15,1.51645e-15,7.0268e-15,4.40216e-15,-0.0469608,4.40216e-15,1.56279e-15,7.24153e-15,All
8.94605e-15,0.136397,8.94605e-15,3.1759e-15,1.47162e-14,9.28908e-15,-0.0469608,9.28908e-15,3.29768e-15,1.52805e-14,All
1.87357e-14,0.136397,1.87357e-14,6.65128e-15,3.08201e-14,1.9601e-14,-0.0469608,1.9601e-14,6.95848e-15,3.22436e-14,All
3.92381e-14,0.136397,3.92381e-14,1.39297e-14,6.45464e-14,4.13605e-14,-0.0469608,4.13605e-14,1.46832e-14,6.80377e-14,All
8.21762e-14,0.136397,8.21762e-14,2.9173e-14,1.35179e-13,8.72754e-14,-0.0469608,8.72754e-14,3.09833e-14,1.43568e-13,All
1.72101e-13,0.136397,1.72101e-13,6.1097e-14,2.83106e-13,1.84161e-13,-0.0469608,1.84161e-13,6.53783e-14,3.02944e-13,All
3.60431e-13,0.136397,3.60431e-13,1.27955e-13,5.92907e-13,3.88602e-13,-0.0469608,3.88602e-13,1.37956e-13,6.39248e-13,All
7.5485e-13,0.136397,7.5485e-13,2.67976e-13,1.24172e-12,8.19995e-13,-0.0469608,8.19995e-13,2.91103e-13,1.34889e-12,All
1.58088e-12,0.136397,1.58088e-12,5.61221e-13,2.60054e-12,1.73029e-12,-0.0469608,1.73029e-12,6.14261e-13,2.84631e-12,All
3.31083e-12,0.136397,3.31083e-12,1.17536e-12,5.4463e-12,3.6511e-12,-0.0469608,3.6511e-12,1.29616e-12,6.00605e-12,All
6.93386e-12,0.136397,6.93386e-12,2.46156e-12,1.14062e-11,7.70426e-12,-0.0469608,7.70426e-12,2.73506e-12,1.26735e-11,All
1.45216e-11,0.136397,1.45216e-11,5.15524e-12,2.38879e-11,1.62569e-11,-0.0469608,1.62569e-11,5.77129e-12,2.67425e-11,All
3.04125e-11,0.136397,3.04125e-11,1.07966e-11,5.00283e-11,3.43039e-11,-0.0469608,3.43039e-11,1.21781e-11,5.64297e-11,All
6.36927e-11,0.136397,6.36927e-11,2.26113e-11,1.04774e-10,7.23853e-11,-0.0469608,7.23853e-11,2.56972e-11,1.19073e-10,All
1.33391e-10,0.136397,1.33391e-10,4.73547e-11,2.19428e-10,1.52741e-10,-0.0469608,1.52741e-10,5.42241e-11,2.51259e-10,All
2.79361e-10,0.136397,2.79361e-10,9.91749e-11,4.59548e-10,3.22302e-10,-0.0469608,3.22302e-10,1.14419e-10,5.30185e-10,All
5.85066e-10,0.136397,5.85066e-10,2.07702e-10,9.62429e-10,6.80095e-10,-0.0469608,6.80095e-10,2.41438e-10,1.11875e-09,All
1.2253e-09,0.136397,1.2253e-09,4.34989e-10,2.01561e-09,1.43508e-09,-0.0469608,1.43508e-09,5.09461e-10,2.3607e-09,All
2.56614e-09,0.136397,2.56614e-09,9.10996e-10,4.22129e-09,3.02818e-09,-0.0469608,3.02818e-09,1.07502e-09,4.98135e-09,All
5.37427e-09,0.136397,5.37427e-09,1.9079e-09,8.84064e-09,6.38982e-09,-0.0469608,6.38982e-09,2.26842e-09,1.05112e-08,All
1.12553e-08,0.136397,1.12553e-08,3.9957e-09,1.85149e-08,1.34833e-08,-0.0469608,1.34833e-08,4.78664e-09,2.21799e-08,All
2.3572e-08,0.136397,2.3572e-08,8.36818e-09,3.87757e-08,2.84513e-08,-0.0469608,2.84513e-08,1.01004e-08,4.68022e-08,All
4.93667e-08,0.136397,4.93667e-08,1.75255e-08,8.12079e-08,6.00355e-08,-0.0469608,6.00355e-08,2.1313e-08,9.87581e-08,All
1.03388e-07,0.136397,1.03388e-07,3.67035e-08,1.70073e-07,1.26682e-07,-0.0469607,1.26682e-07,4.49728e-08,2.08391e-07,All
2.16526e-07,0.136398,2.16526e-07,7.6868e-08,3.56184e-07,2.67314e-07,-0.0469607,2.67314e-07,9.48979e-08,4.39729e-07,All
4.5347e-07,0.136398,4.5347e-07,1.60984e-07,7.45955e-07,5.64063e-07,-0.0469605,5.64063e-07,2.00246e-07,9.2788e-07,All
9.497e-07,0.136398,9.497e-07,3.37149e-07,1.56225e-06,1.19024e-06,-0.04696,1.19024e-06,4.22542e-07,1.95794e-06,All
1.98895e-06,0.136398,1.98895e-06,7.0609e-07,3.27182e-06,2.51154e-06,-0.0469591,2.51154e-06,8.91612e-07,4.13147e-06,All
4.16546e-06,0.136399,4.16546e-06,1.47876e-06,6.85216e-06,5.29965e-06,-0.0469572,5.29965e-06,1.88141e-06,8.71789e-06,All
8.72371e-06,0.1364,8.72371e-06,3.09697e-06,1.43505e-05,1.11829e-05,-0.0469532,1.11829e-05,3.96999e-06,1.83958e-05,All
1.827e-05,0.136404,1.827e-05,6.48597e-06,3.00541e-05,2.35972e-05,-0.0469447,2.35972e-05,8.37713e-06,3.88172e-05,All
3.82629e-05,0.136411,3.82629e-05,1.35835e-05,6.29422e-05,4.97928e-05,-0.0469268,4.97928e-05,1.76767e-05,8.19088e-05,All
8.01338e-05,0.136425,8.01338e-05,2.8448e-05,0.00013182,0.000105069,-0.0468889,0.000105069,3.73e-05,0.000172837,All
