time,arithmeticMean,sd,split
-1,-0.0944798,0.152896,All
0,-0.176974,0.0874725,All
1,-0.235934,0.134698,All
2.6,0.329662,0.813789,All
4,1.11727,0.709006,All
5,1.25484,0.870443,All
6,1.81611,0.602208,All
7,1.75717,0.850952,All
8,1.55584,0.716699,All
9,1.08727,0.695511,All
10,0.691668,0.878918,All
11,0.704995,0.982252,All
12,0.649588,0.614168,All
13.3,0.405864,0.60101,All
