time,arithmeticMean,sd,split
2.7,3.025,0.817234,All
3.5,3.04286,1.25065,All
4,2.85875,0.833982,All
4.5,2.85,0.922948,All
5,2.746,0.728853,All
5.5,3.06625,0.724646,All
6,3.207,0.79627,All
6.5,3.09,0.726518,All
7,2.933,0.971712,All
7.5,2.95,1.0765,All
8,2.60333,0.721378,All
8.66667,1.875,0.206373,All
9.83333,2.18,0.550345,All
11.0833,1.94,0.30835,All
