rep,ID,time,y1,y1_simBlq_simulated,indivPredSimulated,censored,split,color,filter
1,7,1,3,1.26318,0.121718,1,All,#4682B4,0
2,7,1,3,0.935,0,1,All,#4682B4,0
3,7,1,3,0.483296,0.385652,1,All,#4682B4,0
4,7,1,3,0.834499,0,1,All,#4682B4,0
5,7,1,3,0.900528,0,1,All,#4682B4,0
6,7,1,3,0.790695,0.669876,1,All,#4682B4,0
7,7,1,3,0.469942,0.787416,1,All,#4682B4,0
8,7,1,3,0.700599,0,1,All,#4682B4,0
9,7,1,3,0.579806,0,1,All,#4682B4,0
10,7,1,3,0.595121,0,1,All,#4682B4,0
1,7,1.5,3,1.91509,1.08608,1,All,#4682B4,0
2,7,1.5,3,0.766062,0.729121,1,All,#4682B4,0
3,7,1.5,3,1.75954,1.39705,1,All,#4682B4,0
4,7,1.5,3,2.18655,1.04542,1,All,#4682B4,0
5,7,1.5,3,1.74998,0.888889,1,All,#4682B4,0
6,7,1.5,3,0.799324,1.02263,1,All,#4682B4,0
7,7,1.5,3,1.54648,1.50157,1,All,#4682B4,0
8,7,1.5,3,0.374494,0,1,All,#4682B4,0
9,7,1.5,3,0.484095,0.707751,1,All,#4682B4,0
10,7,1.5,3,0.721873,0,1,All,#4682B4,0
1,7,2,3,0.36781,1.41749,1,All,#4682B4,0
2,7,2,3,1.73663,1.49219,1,All,#4682B4,0
3,7,2,3,2.42636,2.0614,1,All,#4682B4,0
4,7,2,3,0.242445,1.56699,1,All,#4682B4,0
5,7,2,3,2.12922,1.40055,1,All,#4682B4,0
6,7,2,3,2.51631,1.43538,1,All,#4682B4,0
7,7,2,3,1.96079,1.95912,1,All,#4682B4,0
8,7,2,3,0.365419,0,1,All,#4682B4,0
9,7,2,3,1.88225,1.56733,1,All,#4682B4,0
10,7,2,3,2.55994,1.59657,1,All,#4682B4,0
1,7,2.5,3,1.92136,1.8099,1,All,#4682B4,0
2,7,2.5,3,2.33728,2.19088,1,All,#4682B4,0
3,7,2.5,3,2.76342,2.73341,1,All,#4682B4,0
4,7,2.5,3,1.98407,2.12852,1,All,#4682B4,0
5,7,2.5,3,2.13272,1.94745,1,All,#4682B4,0
6,7,2.5,3,2.37266,1.92351,1,All,#4682B4,0
7,7,2.5,3,2.71911,2.46235,1,All,#4682B4,0
8,7,2.5,3,1.9422,1.56028,1,All,#4682B4,0
9,7,2.5,3,1.60873,2.40263,1,All,#4682B4,0
10,7,2.5,3,2.04496,2.45574,1,All,#4682B4,0
1,7,3,3,1.34366,2.27744,1,All,#4682B4,0
2,7,3,3,2.24593,2.92468,1,All,#4682B4,0
3,7,3,3,2.7444,3.41293,1,All,#4682B4,0
4,7,3,3,2.343,2.7341,1,All,#4682B4,0
5,7,3,3,2.25618,2.5521,1,All,#4682B4,0
6,7,3,3,1.45588,2.50757,1,All,#4682B4,0
7,7,3,3,2.58495,3.01545,1,All,#4682B4,0
8,7,3,3,2.2516,2.61655,1,All,#4682B4,0
9,7,3,3,2.64219,3.22602,1,All,#4682B4,0
10,7,3,3,2.17724,3.28788,1,All,#4682B4,0
1,7,3.5,3.949,3.949,2.84032,0,All,#4682B4,0
2,7,3.5,3.949,3.949,3.69607,0,All,#4682B4,0
3,7,3.5,3.949,3.949,4.1,0,All,#4682B4,0
4,7,3.5,3.949,3.949,3.38952,0,All,#4682B4,0
5,7,3.5,3.949,3.949,3.22339,0,All,#4682B4,0
6,7,3.5,3.949,3.949,3.2131,0,All,#4682B4,0
7,7,3.5,3.949,3.949,3.62694,0,All,#4682B4,0
8,7,3.5,3.949,3.949,3.59726,0,All,#4682B4,0
9,7,3.5,3.949,3.949,4.03818,0,All,#4682B4,0
10,7,3.5,3.949,3.949,4.09465,0,All,#4682B4,0
1,7,4,3,1.88705,3.52661,1,All,#4682B4,0
2,7,4,3,2.23085,4.50785,1,All,#4682B4,0
3,7,4,3,2.08946,4.79449,1,All,#4682B4,0
4,7,4,3,2.90407,4.10013,1,All,#4682B4,0
5,7,4,3,2.52644,3.97382,1,All,#4682B4,0
6,7,4,3,2.91939,4.07753,1,All,#4682B4,0
7,7,4,3,2.91359,4.306,1,All,#4682B4,0
8,7,4,3,2.6508,4.50978,1,All,#4682B4,0
9,7,4,3,2.80403,4.83912,1,All,#4682B4,0
10,7,4,3,2.89599,4.87676,1,All,#4682B4,0
1,7,4.5,5.246,5.246,4.3774,0,All,#4682B4,0
2,7,4.5,5.246,5.246,5.363,0,All,#4682B4,0
3,7,4.5,5.246,5.246,5.49506,0,All,#4682B4,0
4,7,4.5,5.246,5.246,4.87212,0,All,#4682B4,0
5,7,4.5,5.246,5.246,4.81594,0,All,#4682B4,0
6,7,4.5,5.246,5.246,5.15731,0,All,#4682B4,0
7,7,4.5,5.246,5.246,5.06296,0,All,#4682B4,0
8,7,4.5,5.246,5.246,5.36025,0,All,#4682B4,0
9,7,4.5,5.246,5.246,5.62758,0,All,#4682B4,0
10,7,4.5,5.246,5.246,5.63427,0,All,#4682B4,0
1,7,5,5.678,5.678,5.45669,0,All,#4682B4,0
2,7,5,5.678,5.678,6.26016,0,All,#4682B4,0
