rep,ID,time,y2,y2_simBlq_simulated,indivPredSimulated,censored,split,color,filter
4,7,5,1.27,1.13621,1.08393,1,All,#4682B4,0
5,7,5,1.27,1.11691,1.04405,1,All,#4682B4,0
6,7,5,1.27,0.942768,1.56328,1,All,#4682B4,0
7,7,5,1.27,1.04963,1.04765,1,All,#4682B4,0
8,7,5,1.27,1.18901,1.19376,1,All,#4682B4,0
9,7,5,1.27,0.449517,1.72433,1,All,#4682B4,0
10,7,5,1.27,0.527358,1.54649,1,All,#4682B4,0
1,7,5.5,2.76,2.76,1.80729,0,All,#4682B4,0
2,7,5.5,2.76,2.76,2.59111,0,All,#4682B4,0
3,7,5.5,2.76,2.76,2.11169,0,All,#4682B4,0
4,7,5.5,2.76,2.76,2.04261,0,All,#4682B4,0
5,7,5.5,2.76,2.76,2.18016,0,All,#4682B4,0
6,7,5.5,2.76,2.76,3.15442,0,All,#4682B4,0
7,7,5.5,2.76,2.76,2.02108,0,All,#4682B4,0
8,7,5.5,2.76,2.76,1.87871,0,All,#4682B4,0
9,7,5.5,2.76,2.76,2.4175,0,All,#4682B4,0
10,7,5.5,2.76,2.76,2.20395,0,All,#4682B4,0
1,7,6,3.67,3.67,3.49919,0,All,#4682B4,0
2,7,6,3.67,3.67,3.32128,0,All,#4682B4,0
3,7,6,3.67,3.67,2.62237,0,All,#4682B4,0
4,7,6,3.67,3.67,2.95355,0,All,#4682B4,0
5,7,6,3.67,3.67,3.22129,0,All,#4682B4,0
6,7,6,3.67,3.67,3.13813,0,All,#4682B4,0
7,7,6,3.67,3.67,2.76528,0,All,#4682B4,0
8,7,6,3.67,3.67,2.4177,0,All,#4682B4,0
9,7,6,3.67,3.67,2.89506,0,All,#4682B4,0
10,7,6,3.67,3.67,2.71267,0,All,#4682B4,0
1,7,6.5,2.88,2.88,3.59097,0,All,#4682B4,0
2,7,6.5,2.88,2.88,3.44872,0,All,#4682B4,0
3,7,6.5,2.88,2.88,2.79187,0,All,#4682B4,0
4,7,6.5,2.88,2.88,3.36947,0,All,#4682B4,0
5,7,6.5,2.88,2.88,3.48039,0,All,#4682B4,0
6,7,6.5,2.88,2.88,2.60393,0,All,#4682B4,0
7,7,6.5,2.88,2.88,2.85961,0,All,#4682B4,0
8,7,6.5,2.88,2.88,2.65732,0,All,#4682B4,0
9,7,6.5,2.88,2.88,3.02069,0,All,#4682B4,0
10,7,6.5,2.88,2.88,2.92323,0,All,#4682B4,0
1,7,7,2.18,2.18,3.19988,0,All,#4682B4,0
2,7,7,2.18,2.18,3.17307,0,All,#4682B4,0
3,7,7,2.18,2.18,2.64987,0,All,#4682B4,0
4,7,7,2.18,2.18,3.20439,0,All,#4682B4,0
5,7,7,2.18,2.18,3.27175,0,All,#4682B4,0
6,7,7,2.18,2.18,2.22833,0,All,#4682B4,0
7,7,7,2.18,2.18,2.61348,0,All,#4682B4,0
8,7,7,2.18,2.18,2.56856,0,All,#4682B4,0
9,7,7,2.18,2.18,2.9121,0,All,#4682B4,0
10,7,7,2.18,2.18,2.84785,0,All,#4682B4,0
1,7,7.5,3.67,3.67,2.8598,0,All,#4682B4,0
2,7,7.5,3.67,3.67,2.82059,0,All,#4682B4,0
3,7,7.5,3.67,3.67,2.39818,0,All,#4682B4,0
4,7,7.5,3.67,3.67,2.86901,0,All,#4682B4,0
5,7,7.5,3.67,3.67,3.0833,0,All,#4682B4,0
6,7,7.5,3.67,3.67,2.02614,0,All,#4682B4,0
7,7,7.5,3.67,3.67,2.35389,0,All,#4682B4,0
8,7,7.5,3.67,3.67,2.32653,0,All,#4682B4,0
9,7,7.5,3.67,3.67,2.701,0,All,#4682B4,0
10,7,7.5,3.67,3.67,2.64184,0,All,#4682B4,0
1,7,8,2.12,2.12,2.59809,0,All,#4682B4,0
2,7,8,2.12,2.12,2.52818,0,All,#4682B4,0
3,7,8,2.12,2.12,2.16957,0,All,#4682B4,0
4,7,8,2.12,2.12,2.57192,0,All,#4682B4,0
5,7,8,2.12,2.12,2.97401,0,All,#4682B4,0
6,7,8,2.12,2.12,1.94263,0,All,#4682B4,0
7,7,8,2.12,2.12,2.17639,0,All,#4682B4,0
8,7,8,2.12,2.12,2.08951,0,All,#4682B4,0
9,7,8,2.12,2.12,2.45735,0,All,#4682B4,0
10,7,8,2.12,2.12,2.42163,0,All,#4682B4,0
1,7,8.5,1.88,1.88,2.38191,0,All,#4682B4,0
2,7,8.5,1.88,1.88,2.32505,0,All,#4682B4,0
3,7,8.5,1.88,1.88,2.00835,0,All,#4682B4,0
4,7,8.5,1.88,1.88,2.36354,0,All,#4682B4,0
5,7,8.5,1.88,1.88,2.86133,0,All,#4682B4,0
6,7,8.5,1.88,1.88,1.91891,0,All,#4682B4,0
7,7,8.5,1.88,1.88,2.07981,0,All,#4682B4,0
8,7,8.5,1.88,1.88,1.91853,0,All,#4682B4,0
9,7,8.5,1.88,1.88,2.2117,0,All,#4682B4,0
10,7,8.5,1.88,1.88,2.2382,0,All,#4682B4,0
1,7,9,1.27,0.244612,2.18265,1,All,#4682B4,0
2,7,9,1.27,1.07821,2.20049,1,All,#4682B4,0
3,7,9,1.27,1.06468,1.91544,1,All,#4682B4,0
4,7,9,1.27,1.19789,2.18291,1,All,#4682B4,0
5,7,9,1.27,0.452594,2.67355,1,All,#4682B4,0
6,7,9,1.27,0.58618,1.9184,1,All,#4682B4,0
7,7,9,1.27,1.18528,1.99592,1,All,#4682B4,0
8,7,9,1.27,0.523488,1.81938,1,All,#4682B4,0
9,7,9,1.27,0.411545,1.97635,1,All,#4682B4,0
10,7,9,1.27,1.19624,2.05453,1,All,#4682B4,0
1,7,9.5,3.21,3.21,1.99394,0,All,#4682B4,0
2,7,9.5,3.21,3.21,2.06925,0,All,#4682B4,0
3,7,9.5,3.21,3.21,1.87936,0,All,#4682B4,0
4,7,9.5,3.21,3.21,2.00316,0,All,#4682B4,0
5,7,9.5,3.21,3.21,2.43364,0,All,#4682B4,0
6,7,9.5,3.21,3.21,1.92065,0,All,#4682B4,0
7,7,9.5,3.21,3.21,1.87667,0,All,#4682B4,0
8,7,9.5,3.21,3.21,1.78032,0,All,#4682B4,0
9,7,9.5,3.21,3.21,1.75428,0,All,#4682B4,0
10,7,9.5,3.21,3.21,1.84795,0,All,#4682B4,0
1,7,10,2.14,2.14,1.80156,0,All,#4682B4,0
2,7,10,2.14,2.14,1.90528,0,All,#4682B4,0
3,7,10,2.14,2.14,1.83368,0,All,#4682B4,0
4,7,10,2.14,2.14,1.81584,0,All,#4682B4,0
5,7,10,2.14,2.14,2.15224,0,All,#4682B4,0
6,7,10,2.14,2.14,1.829,0,All,#4682B4,0
7,7,10,2.14,2.14,1.72079,0,All,#4682B4,0
8,7,10,2.14,2.14,1.78634,0,All,#4682B4,0
9,7,10,2.14,2.14,1.54292,0,All,#4682B4,0
10,7,10,2.14,2.14,1.61823,0,All,#4682B4,0
1,7,10.5,1.67,1.67,1.60573,0,All,#4682B4,0
2,7,10.5,1.67,1.67,1.69809,0,All,#4682B4,0
3,7,10.5,1.67,1.67,1.72036,0,All,#4682B4,0
4,7,10.5,1.67,1.67,1.60903,0,All,#4682B4,0
5,7,10.5,1.67,1.67,1.83087,0,All,#4682B4,0
6,7,10.5,1.67,1.67,1.63034,0,All,#4682B4,0
7,7,10.5,1.67,1.67,1.52629,0,All,#4682B4,0
8,7,10.5,1.67,1.67,1.80363,0,All,#4682B4,0
9,7,10.5,1.67,1.67,1.33368,0,All,#4682B4,0
10,7,10.5,1.67,1.67,1.36127,0,All,#4682B4,0
1,7,11,1.27,0.662426,1.39776,1,All,#4682B4,0
2,7,11,1.27,0.165951,1.44086,1,All,#4682B4,0
3,7,11,1.27,0.932847,1.53694,1,All,#4682B4,0
4,7,11,1.27,1.26738,1.3758,1,All,#4682B4,0
5,7,11,1.27,1.15797,1.45422,1,All,#4682B4,0
6,7,11,1.27,1.07332,1.34987,1,All,#4682B4,0
7,7,11,1.27,0.856581,1.29174,1,All,#4682B4,0
8,7,11,1.27,1.23776,1.68275,1,All,#4682B4,0
9,7,11,1.27,0.345355,1.11728,1,All,#4682B4,0
10,7,11,1.27,0.96114,1.07111,1,All,#4682B4,0
1,7,11.5,1.27,0.705714,1.1872,1,All,#4682B4,0
2,7,11.5,1.27,1.11541,1.11885,1,All,#4682B4,0
3,7,11.5,1.27,0.659452,1.28193,1,All,#4682B4,0
4,7,11.5,1.27,0.860105,1.10769,1,All,#4682B4,0
5,7,11.5,1.27,0.673401,1.00686,1,All,#4682B4,0
6,7,11.5,1.27,0.659887,0.999144,1,All,#4682B4,0
7,7,11.5,1.27,0.971317,1.01503,1,All,#4682B4,0
8,7,11.5,1.27,1.228,1.4215,1,All,#4682B4,0
9,7,11.5,1.27,0.216166,0.888772,1,All,#4682B4,0
10,7,11.5,1.27,0.887447,0.742187,1,All,#4682B4,0
1,7,12,1.27,1.23302,0.881886,1,All,#4682B4,0
2,7,12,1.27,0.814623,0.735787,1,All,#4682B4,0
3,7,12,1.27,0.837584,0.957977,1,All,#4682B4,0
4,7,12,1.27,0.607054,0.794303,1,All,#4682B4,0
5,7,12,1.27,0.828537,0.479495,1,All,#4682B4,0
6,7,12,1.27,0.520344,0.579826,1,All,#4682B4,0
7,7,12,1.27,1.0327,0.686743,1,All,#4682B4,0
8,7,12,1.27,1.14641,1.04175,1,All,#4682B4,0
9,7,12,1.27,0.620691,0.641644,1,All,#4682B4,0
10,7,12,1.27,0.464712,0.370718,1,All,#4682B4,0
1,7,12.5,1.27,0.213324,0.381139,1,All,#4682B4,0
2,7,12.5,1.27,0.423491,0.285348,1,All,#4682B4,0
3,7,12.5,1.27,0.691992,0.566409,1,All,#4682B4,0
4,7,12.5,1.27,0.599462,0.428158,1,All,#4682B4,0
5,7,12.5,1.27,6.52141e-17,0,1,All,#4682B4,0
6,7,12.5,1.27,0.135563,0.0880151,1,All,#4682B4,0
7,7,12.5,1.27,0.288676,0.300737,1,All,#4682B4,0
8,7,12.5,1.27,0.561804,0.562988,1,All,#4682B4,0
9,7,12.5,1.27,0.574729,0.370308,1,All,#4682B4,0
10,7,12.5,1.27,8.2949e-17,0,1,All,#4682B4,0
1,7,13,1.27,2.66047e-17,0,1,All,#4682B4,0
2,7,13,1.27,3.89471e-16,0,1,All,#4682B4,0
3,7,13,1.27,0.0886835,0.105843,1,All,#4682B4,0
4,7,13,1.27,0.00213378,0.00236725,1,All,#4682B4,0
5,7,13,1.27,2.26065e-16,0,1,All,#4682B4,0
6,7,13,1.27,4.01195e-17,0,1,All,#4682B4,0
7,7,13,1.27,1.01599e-17,0,1,All,#4682B4,0
8,7,13,1.27,0.00150733,0.0031205,1,All,#4682B4,0
9,7,13,1.27,0.100586,0.0693614,1,All,#4682B4,0
10,7,13,1.27,4.29539e-17,0,1,All,#4682B4,0
1,7,13.5,1.27,1.04231e-16,0,1,All,#4682B4,0
2,7,13.5,1.27,1.44328e-16,0,1,All,#4682B4,0
3,7,13.5,1.27,6.47669e-17,0,1,All,#4682B4,0
4,7,13.5,1.27,4.92128e-16,0,1,All,#4682B4,0
5,7,13.5,1.27,3.23684e-17,0,1,All,#4682B4,0
6,7,13.5,1.27,3.71507e-16,0,1,All,#4682B4,0
7,7,13.5,1.27,8.04529e-17,0,1,All,#4682B4,0
8,7,13.5,1.27,4.63329e-16,0,1,All,#4682B4,0
9,7,13.5,1.27,8.74751e-17,0,1,All,#4682B4,0
10,7,13.5,1.27,6.79499e-17,0,1,All,#4682B4,0
1,7,14,1.27,4.05658e-16,0,1,All,#4682B4,0
2,7,14,1.27,3.13083e-16,0,1,All,#4682B4,0
3,7,14,1.27,1.00657e-16,0,1,All,#4682B4,0
4,7,14,1.27,3.0286e-17,0,1,All,#4682B4,0
5,7,14,1.27,2.86283e-16,0,1,All,#4682B4,0
6,7,14,1.27,3.67064e-16,0,1,All,#4682B4,0
7,7,14,1.27,3.78508e-16,0,1,All,#4682B4,0
8,7,14,1.27,1.72503e-16,0,1,All,#4682B4,0
9,7,14,1.27,9.86303e-17,0,1,All,#4682B4,0
10,7,14,1.27,8.60964e-17,0,1,All,#4682B4,0
1,7,14.5,1.27,2.38856e-16,0,1,All,#4682B4,0
2,7,14.5,1.27,9.1671e-17,0,1,All,#4682B4,0
3,7,14.5,1.27,1.75243e-16,0,1,All,#4682B4,0
4,7,14.5,1.27,2.77808e-16,0,1,All,#4682B4,0
5,7,14.5,1.27,3.83143e-16,0,1,All,#4682B4,0
6,7,14.5,1.27,2.87332e-16,0,1,All,#4682B4,0
7,7,14.5,1.27,6.77882e-17,0,1,All,#4682B4,0
8,7,14.5,1.27,5.38986e-17,0,1,All,#4682B4,0
9,7,14.5,1.27,7.50825e-17,0,1,All,#4682B4,0
10,7,14.5,1.27,1.62772e-16,0,1,All,#4682B4,0
1,7,15,1.27,6.28207e-17,0,1,All,#4682B4,0
2,7,15,1.27,3.9025e-17,0,1,All,#4682B4,0
3,7,15,1.27,8.43842e-18,0,1,All,#4682B4,0
4,7,15,1.27,1.31702e-18,0,1,All,#4682B4,0
5,7,15,1.27,4.06255e-16,0,1,All,#4682B4,0
6,7,15,1.27,1.7545e-16,0,1,All,#4682B4,0
7,7,15,1.27,2.09133e-17,0,1,All,#4682B4,0
8,7,15,1.27,2.41582e-16,0,1,All,#4682B4,0
9,7,15,1.27,2.24275e-17,0,1,All,#4682B4,0
10,7,15,1.27,2.11042e-16,0,1,All,#4682B4,0
1,7,15.5,1.27,2.53601e-16,0,1,All,#4682B4,0
2,7,15.5,1.27,5.91859e-17,0,1,All,#4682B4,0
3,7,15.5,1.27,4.80752e-16,0,1,All,#4682B4,0
4,7,15.5,1.27,2.39427e-16,0,1,All,#4682B4,0
5,7,15.5,1.27,2.94844e-16,0,1,All,#4682B4,0
6,7,15.5,1.27,9.37319e-17,0,1,All,#4682B4,0
7,7,15.5,1.27,1.01999e-16,0,1,All,#4682B4,0
8,7,15.5,1.27,7.19845e-17,0,1,All,#4682B4,0
9,7,15.5,1.27,8.04852e-17,0,1,All,#4682B4,0
10,7,15.5,1.27,9.9105e-17,0,1,All,#4682B4,0
1,7,16,1.27,1.30218e-16,0,1,All,#4682B4,0
2,7,16,1.27,3.83209e-16,0,1,All,#4682B4,0
3,7,16,1.27,6.8749e-16,0,1,All,#4682B4,0
4,7,16,1.27,2.42341e-16,0,1,All,#4682B4,0
5,7,16,1.27,5.37673e-19,0,1,All,#4682B4,0
6,7,16,1.27,3.83258e-17,0,1,All,#4682B4,0
7,7,16,1.27,2.10257e-16,0,1,All,#4682B4,0
8,7,16,1.27,2.60029e-17,0,1,All,#4682B4,0
9,7,16,1.27,2.10597e-16,0,1,All,#4682B4,0
10,7,16,1.27,7.53372e-17,0,1,All,#4682B4,0
1,8,1,1.27,2.77667e-16,0,1,All,#4682B4,0
2,8,1,1.27,1.77516e-16,0,1,All,#4682B4,0
3,8,1,1.27,6.28412e-17,0,1,All,#4682B4,0
4,8,1,1.27,1.65486e-16,0,1,All,#4682B4,0
5,8,1,1.27,2.78103e-16,0,1,All,#4682B4,0
