rep,ID,time,y3,y3_simBlq_simulated,indivPredSimulated,censored,split,color,filter
1,7,-1,-0.16725,-0.16725,-7,0,All,#4682B4,0
2,7,-1,-0.16725,-0.16725,-7,0,All,#4682B4,0
3,7,-1,-0.16725,-0.16725,-7,0,All,#4682B4,0
4,7,-1,-0.16725,-0.16725,-7,0,All,#4682B4,0
5,7,-1,-0.16725,-0.16725,-7,0,All,#4682B4,0
6,7,-1,-0.16725,-0.16725,-7,0,All,#4682B4,0
7,7,-1,-0.16725,-0.16725,-7,0,All,#4682B4,0
8,7,-1,-0.16725,-0.16725,-7,0,All,#4682B4,0
9,7,-1,-0.16725,-0.16725,-7,0,All,#4682B4,0
10,7,-1,-0.16725,-0.16725,-7,0,All,#4682B4,0
1,7,0,-0.31,-3.03666,-7,1,All,#4682B4,0
2,7,0,-0.31,-3.65086,-7,1,All,#4682B4,0
3,7,0,-0.31,-7.54031,-7,1,All,#4682B4,0
4,7,0,-0.31,-3.9562,-7,1,All,#4682B4,0
5,7,0,-0.31,-12.0029,-7,1,All,#4682B4,0
6,7,0,-0.31,-6.48745,-7,1,All,#4682B4,0
7,7,0,-0.31,-4.70335,-7,1,All,#4682B4,0
8,7,0,-0.31,-10.8619,-7,1,All,#4682B4,0
9,7,0,-0.31,-10.1829,-7,1,All,#4682B4,0
10,7,0,-0.31,-4.74018,-7,1,All,#4682B4,0
1,7,1,0.050877,0.050877,-4.8504,0,All,#4682B4,0
2,7,1,0.050877,0.050877,-7,0,All,#4682B4,0
3,7,1,0.050877,0.050877,-4.14607,0,All,#4682B4,0
4,7,1,0.050877,0.050877,-4.57844,0,All,#4682B4,0
5,7,1,0.050877,0.050877,-7,0,All,#4682B4,0
6,7,1,0.050877,0.050877,-4.43406,0,All,#4682B4,0
7,7,1,0.050877,0.050877,-3.5799,0,All,#4682B4,0
8,7,1,0.050877,0.050877,-7,0,All,#4682B4,0
9,7,1,0.050877,0.050877,-7,0,All,#4682B4,0
10,7,1,0.050877,0.050877,-7,0,All,#4682B4,0
1,7,2,-0.291743,-0.291743,-4.02722,0,All,#4682B4,0
2,7,2,-0.291743,-0.291743,-3.63339,0,All,#4682B4,0
3,7,2,-0.291743,-0.291743,-2.76015,0,All,#4682B4,0
4,7,2,-0.291743,-0.291743,-3.39561,0,All,#4682B4,0
5,7,2,-0.291743,-0.291743,-3.61345,0,All,#4682B4,0
6,7,2,-0.291743,-0.291743,-3.65734,0,All,#4682B4,0
