popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
2.22045e-16,1.19007,2.22045e-16,-1.46676,1.46676,2.22045e-16,0.249306,2.22045e-16,-1.46676,1.46676,All
4.75803e-16,1.19007,4.75803e-16,-1.46676,1.46676,4.76764e-16,0.249306,4.76764e-16,-1.46676,1.46676,All
1.01956e-15,1.19007,1.01956e-15,-1.46676,1.46676,1.02369e-15,0.249306,1.02369e-15,-1.46676,1.46676,All
2.18475e-15,1.19007,2.18475e-15,-1.46676,1.46676,2.19801e-15,0.249306,2.19801e-15,-1.46676,1.46676,All
4.68154e-15,1.19007,4.68154e-15,-1.46676,1.46676,4.71947e-15,0.249306,4.71947e-15,-1.46676,1.46676,All
1.00317e-14,1.19007,1.00317e-14,-1.46676,1.46676,1.01334e-14,0.249306,1.01334e-14,-1.46676,1.46676,All
2.14963e-14,1.19007,2.14963e-14,-1.46676,1.46676,2.17581e-14,0.249306,2.17581e-14,-1.46676,1.46676,All
4.60629e-14,1.19007,4.60629e-14,-1.46676,1.46676,4.67179e-14,0.249306,4.67179e-14,-1.46676,1.46676,All
9.87048e-14,1.19007,9.87048e-14,-1.46676,1.46676,1.00311e-13,0.249306,1.00311e-13,-1.46676,1.46676,All
2.11507e-13,1.19007,2.11507e-13,-1.46676,1.46676,2.15382e-13,0.249306,2.15382e-13,-1.46676,1.46676,All
4.53224e-13,1.19007,4.53224e-13,-1.46676,1.46676,4.62459e-13,0.249306,4.62459e-13,-1.46676,1.46676,All
9.7118e-13,1.19007,9.7118e-13,-1.46676,1.46676,9.92971e-13,0.249306,9.92971e-13,-1.46676,1.46676,All
2.08107e-12,1.19007,2.08107e-12,-1.46676,1.46676,2.13206e-12,0.249306,2.13206e-12,-1.46676,1.46676,All
4.45938e-12,1.19007,4.45938e-12,-1.46676,1.46676,4.57787e-12,0.249306,4.57787e-12,-1.46676,1.46676,All
9.55568e-12,1.19007,9.55568e-12,-1.46676,1.46676,9.82939e-12,0.249306,9.82939e-12,-1.46676,1.46676,All
2.04762e-11,1.19007,2.04762e-11,-1.46676,1.46676,2.11052e-11,0.249306,2.11052e-11,-1.46676,1.46676,All
4.38769e-11,1.19007,4.38769e-11,-1.46676,1.46676,4.53162e-11,0.249306,4.53162e-11,-1.46676,1.46676,All
9.40207e-11,1.19007,9.40207e-11,-1.46676,1.46676,9.73008e-11,0.249306,9.73008e-11,-1.46676,1.46676,All
2.0147e-10,1.19007,2.0147e-10,-1.46676,1.46676,2.0892e-10,0.249306,2.0892e-10,-1.46676,1.46676,All
4.31716e-10,1.19007,4.31716e-10,-1.46676,1.46676,4.48583e-10,0.249306,4.48583e-10,-1.46676,1.46676,All
9.25092e-10,1.19007,9.25092e-10,-1.46676,1.46676,9.63178e-10,0.249306,9.63178e-10,-1.46676,1.46676,All
1.98231e-09,1.19007,1.98231e-09,-1.46676,1.46676,2.06809e-09,0.249306,2.06809e-09,-1.46676,1.46676,All
4.24775e-09,1.19007,4.24775e-09,-1.46676,1.46676,4.44051e-09,0.249306,4.44051e-09,-1.46676,1.46676,All
9.10221e-09,1.19007,9.10221e-09,-1.46676,1.46676,9.53446e-09,0.249307,9.53446e-09,-1.46676,1.46676,All
1.95045e-08,1.19007,1.95045e-08,-1.46676,1.46676,2.0472e-08,0.249307,2.0472e-08,-1.46676,1.46676,All
4.17947e-08,1.19007,4.17947e-08,-1.46676,1.46676,4.39565e-08,0.249307,4.39565e-08,-1.46676,1.46676,All
8.95588e-08,1.19007,8.95588e-08,-1.46676,1.46676,9.43814e-08,0.249307,9.43814e-08,-1.46676,1.46676,All
1.91909e-07,1.19007,1.91909e-07,-1.46676,1.46676,2.02651e-07,0.249307,2.02651e-07,-1.46676,1.46676,All
4.11228e-07,1.19007,4.11228e-07,-1.46676,1.46676,4.35124e-07,0.249307,4.35124e-07,-1.46676,1.46676,All
8.81191e-07,1.19007,8.81191e-07,-1.46676,1.46676,9.34278e-07,0.249308,9.34278e-07,-1.46676,1.46676,All
1.88824e-06,1.19008,1.88824e-06,-1.46676,1.46676,2.00604e-06,0.249309,2.00604e-06,-1.46676,1.46676,All
4.04617e-06,1.19008,4.04617e-06,-1.46676,1.46676,4.30728e-06,0.249312,4.30728e-06,-1.46676,1.46676,All
8.67025e-06,1.19008,8.67025e-06,-1.46675,1.46677,9.24839e-06,0.249318,9.24839e-06,-1.46675,1.46677,All
1.85789e-05,1.19008,1.85789e-05,-1.46674,1.46678,1.98577e-05,0.24933,1.98577e-05,-1.46674,1.46678,All
3.98113e-05,1.19009,3.98113e-05,-1.46672,1.4668,4.26376e-05,0.249357,4.26376e-05,-1.46672,1.4668,All
8.53087e-05,1.19012,8.53087e-05,-1.46667,1.46684,9.15495e-05,0.249416,9.15495e-05,-1.46667,1.46685,All
0.000182802,1.19017,0.000182802,-1.46658,1.46694,0.000196571,0.249541,0.000196571,-1.46656,1.46696,All
0.000391713,1.19028,0.000391713,-1.46637,1.46715,0.000422068,0.249811,0.000422068,-1.46634,1.46718,All
0.000839373,1.19051,0.000839373,-1.46592,1.4676,0.000906246,0.250389,0.000906246,-1.46585,1.46767,All
