popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
2.22045e-16,0.274984,2.22045e-16,-1.43186e-16,5.87275e-16,2.22045e-16,-0.0435198,2.22045e-16,-1.43186e-16,5.87275e-16,All
4.65559e-16,0.274984,4.65559e-16,1.00328e-16,8.3079e-16,4.67243e-16,-0.0435198,4.67243e-16,1.02012e-16,8.32474e-16,All
9.76135e-16,0.274984,9.76135e-16,3.2832e-16,1.62395e-15,9.83208e-16,-0.0435198,9.83208e-16,3.30699e-16,1.63572e-15,All
2.04665e-15,0.274984,2.04665e-15,6.88387e-16,3.40492e-15,2.06894e-15,-0.0435198,2.06894e-15,6.95882e-16,3.442e-15,All
4.29121e-15,0.274984,4.29121e-15,1.44334e-15,7.13908e-15,4.35362e-15,-0.0435198,4.35362e-15,1.46433e-15,7.24291e-15,All
8.99734e-15,0.274984,8.99734e-15,3.02623e-15,1.49684e-14,9.16121e-15,-0.0435198,9.16121e-15,3.08135e-15,1.52411e-14,All
1.88647e-14,0.274984,1.88647e-14,6.34508e-15,3.13842e-14,1.92777e-14,-0.0435198,1.92777e-14,6.484e-15,3.20714e-14,All
3.95534e-14,0.274984,3.95534e-14,1.33037e-14,6.58031e-14,4.05656e-14,-0.0435198,4.05656e-14,1.36441e-14,6.74871e-14,All
8.29313e-14,0.274984,8.29313e-14,2.78937e-14,1.37969e-13,8.53612e-14,-0.0435198,8.53612e-14,2.8711e-14,1.42011e-13,All
1.73881e-13,0.274984,1.73881e-13,5.84846e-14,2.89278e-13,1.79623e-13,-0.0435198,1.79623e-13,6.04158e-14,2.98831e-13,All
3.64576e-13,0.274984,3.64576e-13,1.22624e-13,6.06528e-13,3.77977e-13,-0.0435198,3.77977e-13,1.27132e-13,6.28823e-13,All
7.64404e-13,0.274984,7.64404e-13,2.57105e-13,1.2717e-12,7.95368e-13,-0.0435198,7.95368e-13,2.6752e-13,1.32322e-12,All
1.60272e-12,0.274984,1.60272e-12,5.3907e-13,2.66637e-12,1.67367e-12,-0.0435198,1.67367e-12,5.62935e-13,2.78441e-12,All
3.36041e-12,0.274984,3.36041e-12,1.13027e-12,5.59056e-12,3.52187e-12,-0.0435198,3.52187e-12,1.18457e-12,5.85916e-12,All
7.04575e-12,0.274984,7.04575e-12,2.36982e-12,1.17217e-11,7.41098e-12,-0.0435198,7.41098e-12,2.49266e-12,1.23293e-11,All
1.47728e-11,0.274984,1.47728e-11,4.96878e-12,2.45768e-11,1.55947e-11,-0.0435198,1.55947e-11,5.24525e-12,2.59442e-11,All
3.0974e-11,0.274984,3.0974e-11,1.0418e-11,5.15299e-11,3.28156e-11,-0.0435198,3.28156e-11,1.10374e-11,5.45938e-11,All
6.49429e-11,0.274984,6.49429e-11,2.18434e-11,1.08042e-10,6.90531e-11,-0.0435198,6.90531e-11,2.32258e-11,1.1488e-10,All
1.36165e-10,0.274984,1.36165e-10,4.57988e-11,2.26532e-10,1.45307e-10,-0.0435198,1.45307e-10,4.88735e-11,2.4174e-10,All
2.85497e-10,0.274984,2.85497e-10,9.6026e-11,4.74967e-10,3.05765e-10,-0.0435198,3.05765e-10,1.02843e-10,5.08687e-10,All
5.98599e-10,0.274984,5.98599e-10,2.01337e-10,9.95861e-10,6.43414e-10,-0.0435198,6.43414e-10,2.16411e-10,1.07042e-09,All
1.25508e-09,0.274984,1.25508e-09,4.22142e-10,2.08801e-09,1.35392e-09,-0.0435198,1.35392e-09,4.55387e-10,2.25245e-09,All
2.63151e-09,0.274984,2.63151e-09,8.85102e-10,4.37792e-09,2.84902e-09,-0.0435198,2.84902e-09,9.5826e-10,4.73978e-09,All
5.51747e-09,0.274984,5.51747e-09,1.85579e-09,9.17916e-09,5.99512e-09,-0.0435198,5.99512e-09,2.01644e-09,9.9738e-09,All
1.15684e-08,0.274984,1.15684e-08,3.89102e-09,1.92459e-08,1.26154e-08,-0.0435198,1.26154e-08,4.24315e-09,2.09876e-08,All
2.42555e-08,0.274984,2.42555e-08,8.15826e-09,4.03527e-08,2.65463e-08,-0.0435198,2.65463e-08,8.92876e-09,4.41637e-08,All
5.08563e-08,0.274984,5.08563e-08,1.71054e-08,8.46072e-08,5.58606e-08,-0.0435198,5.58606e-08,1.87886e-08,9.29327e-08,All
1.0663e-07,0.274984,1.0663e-07,3.58647e-08,1.77395e-07,1.17546e-07,-0.0435197,1.17546e-07,3.95363e-08,1.95556e-07,All
2.2357e-07,0.274985,2.2357e-07,7.51973e-08,3.71943e-07,2.47349e-07,-0.0435196,2.47349e-07,8.31953e-08,4.11503e-07,All
4.68758e-07,0.274985,4.68758e-07,1.57666e-07,7.79851e-07,5.20491e-07,-0.0435193,5.20491e-07,1.75066e-07,8.65916e-07,All
9.82842e-07,0.274986,9.82842e-07,3.30576e-07,1.63511e-06,1.09526e-06,-0.0435188,1.09526e-06,3.68387e-07,1.82213e-06,All
2.06072e-06,0.274988,2.06072e-06,6.93117e-07,3.42832e-06,2.30472e-06,-0.0435176,2.30472e-06,7.75187e-07,3.83426e-06,All
