rep,ID,time,y3,y3_simBlq_simulated,indivPredSimulated,censored,split,color,filter
1,7,-1,-0.16725,-0.16725,-0.414398,0,All,#4682B4,0
2,7,-1,-0.16725,-0.16725,-0.15418,0,All,#4682B4,0
3,7,-1,-0.16725,-0.16725,-0.201698,0,All,#4682B4,0
4,7,-1,-0.16725,-0.16725,-0.29433,0,All,#4682B4,0
5,7,-1,-0.16725,-0.16725,-0.244983,0,All,#4682B4,0
6,7,-1,-0.16725,-0.16725,-0.164736,0,All,#4682B4,0
7,7,-1,-0.16725,-0.16725,-0.248727,0,All,#4682B4,0
8,7,-1,-0.16725,-0.16725,-0.170305,0,All,#4682B4,0
9,7,-1,-0.16725,-0.16725,-0.4804,0,All,#4682B4,0
10,7,-1,-0.16725,-0.16725,-0.073574,0,All,#4682B4,0
1,7,0,-0.31,-1.19283,-0.414398,1,All,#4682B4,0
2,7,0,-0.31,-0.853123,-0.15418,1,All,#4682B4,0
3,7,0,-0.31,-0.368843,-0.201698,1,All,#4682B4,0
4,7,0,-0.31,-0.856959,-0.29433,1,All,#4682B4,0
5,7,0,-0.31,-0.876304,-0.244983,1,All,#4682B4,0
6,7,0,-0.31,-0.38215,-0.164736,1,All,#4682B4,0
7,7,0,-0.31,-0.688062,-0.248727,1,All,#4682B4,0
8,7,0,-0.31,-0.718997,-0.170305,1,All,#4682B4,0
9,7,0,-0.31,-0.862266,-0.4804,1,All,#4682B4,0
10,7,0,-0.31,-0.627848,-0.073574,1,All,#4682B4,0
1,7,1,0.050877,0.050877,-0.414398,0,All,#4682B4,0
2,7,1,0.050877,0.050877,-0.15418,0,All,#4682B4,0
3,7,1,0.050877,0.050877,-0.201698,0,All,#4682B4,0
4,7,1,0.050877,0.050877,-0.29433,0,All,#4682B4,0
5,7,1,0.050877,0.050877,-0.244983,0,All,#4682B4,0
6,7,1,0.050877,0.050877,-0.164736,0,All,#4682B4,0
7,7,1,0.050877,0.050877,-0.248727,0,All,#4682B4,0
8,7,1,0.050877,0.050877,-0.170305,0,All,#4682B4,0
9,7,1,0.050877,0.050877,-0.4804,0,All,#4682B4,0
10,7,1,0.050877,0.050877,-0.073574,0,All,#4682B4,0
1,7,2,-0.291743,-0.291743,-0.414398,0,All,#4682B4,0
2,7,2,-0.291743,-0.291743,-0.15418,0,All,#4682B4,0
3,7,2,-0.291743,-0.291743,-0.201698,0,All,#4682B4,0
4,7,2,-0.291743,-0.291743,-0.29433,0,All,#4682B4,0
5,7,2,-0.291743,-0.291743,-0.244983,0,All,#4682B4,0
6,7,2,-0.291743,-0.291743,-0.164736,0,All,#4682B4,0
7,7,2,-0.291743,-0.291743,-0.248727,0,All,#4682B4,0
8,7,2,-0.291743,-0.291743,-0.170305,0,All,#4682B4,0
9,7,2,-0.291743,-0.291743,-0.4804,0,All,#4682B4,0
10,7,2,-0.291743,-0.291743,-0.073574,0,All,#4682B4,0
1,7,3,-0.31,-1.10081,-0.454678,1,All,#4682B4,0
2,7,3,-0.31,-0.333721,-0.244418,1,All,#4682B4,0
3,7,3,-0.31,-0.333297,-0.201698,1,All,#4682B4,0
4,7,3,-0.31,-0.995432,-0.385058,1,All,#4682B4,0
5,7,3,-0.31,-0.920775,-0.253709,1,All,#4682B4,0
6,7,3,-0.31,-0.577921,-0.358639,1,All,#4682B4,0
7,7,3,-0.31,-0.538432,-0.354302,1,All,#4682B4,0
8,7,3,-0.31,-0.526408,-0.170305,1,All,#4682B4,0
9,7,3,-0.31,-0.633905,-0.780217,1,All,#4682B4,0
10,7,3,-0.31,-0.800197,-0.322441,1,All,#4682B4,0
1,7,4,0.205345,0.205345,-0.801743,0,All,#4682B4,0
2,7,4,0.205345,0.205345,-0.60349,0,All,#4682B4,0
3,7,4,0.205345,0.205345,-0.549505,0,All,#4682B4,0
4,7,4,0.205345,0.205345,-0.78734,0,All,#4682B4,0
5,7,4,0.205345,0.205345,-0.652456,0,All,#4682B4,0
6,7,4,0.205345,0.205345,-0.684742,0,All,#4682B4,0
7,7,4,0.205345,0.205345,-0.704957,0,All,#4682B4,0
8,7,4,0.205345,0.205345,-0.504442,0,All,#4682B4,0
9,7,4,0.205345,0.205345,-1.05454,0,All,#4682B4,0
10,7,4,0.205345,0.205345,-0.693546,0,All,#4682B4,0
1,7,5,0.129385,0.129385,0.096676,0,All,#4682B4,0
2,7,5,0.129385,0.129385,-0.057828,0,All,#4682B4,0
3,7,5,0.129385,0.129385,-0.140314,0,All,#4682B4,0
4,7,5,0.129385,0.129385,-0.628969,0,All,#4682B4,0
5,7,5,0.129385,0.129385,-0.265836,0,All,#4682B4,0
6,7,5,0.129385,0.129385,0.0387259,0,All,#4682B4,0
7,7,5,0.129385,0.129385,0.0421848,0,All,#4682B4,0
8,7,5,0.129385,0.129385,-0.321525,0,All,#4682B4,0
9,7,5,0.129385,0.129385,-0.0938868,0,All,#4682B4,0
10,7,5,0.129385,0.129385,-0.142219,0,All,#4682B4,0
1,7,6,0.391458,0.391458,1.05822,0,All,#4682B4,0
2,7,6,0.391458,0.391458,0.72529,0,All,#4682B4,0
3,7,6,0.391458,0.391458,0.683519,0,All,#4682B4,0
4,7,6,0.391458,0.391458,0.476952,0,All,#4682B4,0
5,7,6,0.391458,0.391458,0.8004,0,All,#4682B4,0
6,7,6,0.391458,0.391458,0.925796,0,All,#4682B4,0
7,7,6,0.391458,0.391458,0.988923,0,All,#4682B4,0
8,7,6,0.391458,0.391458,0.53181,0,All,#4682B4,0
9,7,6,0.391458,0.391458,0.990217,0,All,#4682B4,0
10,7,6,0.391458,0.391458,0.953536,0,All,#4682B4,0
1,7,7,1.52905,1.52905,1.57715,0,All,#4682B4,0
