rep,ID,time,y1,y1_simBlq_simulated,indivPredSimulated,censored,split,color,filter
1,7,1,3,1.12321,0,1,All,#4682B4,0
2,7,1,3,0.909219,0,1,All,#4682B4,0
3,7,1,3,0.0966585,0,1,All,#4682B4,0
4,7,1,3,0.811117,0,1,All,#4682B4,0
5,7,1,3,0.875557,0,1,All,#4682B4,0
6,7,1,3,0.122415,0,1,All,#4682B4,0
7,7,1,3,0.588346,0,1,All,#4682B4,0
8,7,1,3,0.680592,0,1,All,#4682B4,0
9,7,1,3,0.562994,0,1,All,#4682B4,0
10,7,1,3,0.577896,0,1,All,#4682B4,0
1,7,1.5,3,0.940089,0,1,All,#4682B4,0
2,7,1.5,3,0.0375514,0,1,All,#4682B4,0
3,7,1.5,3,0.0333874,0,1,All,#4682B4,0
4,7,1.5,3,0.889873,0,1,All,#4682B4,0
5,7,1.5,3,0.934753,0,1,All,#4682B4,0
6,7,1.5,3,0.325346,0,1,All,#4682B4,0
7,7,1.5,3,0.273524,0,1,All,#4682B4,0
8,7,1.5,3,0.363389,0,1,All,#4682B4,0
9,7,1.5,3,0.429111,0,1,All,#4682B4,0
10,7,1.5,3,0.701317,0,1,All,#4682B4,0
1,7,2,3,0.465527,0,1,All,#4682B4,0
2,7,2,3,0.0961644,0,1,All,#4682B4,0
3,7,2,3,0.319697,0,1,All,#4682B4,0
4,7,2,3,0.566094,0,1,All,#4682B4,0
5,7,2,3,0.44128,0,1,All,#4682B4,0
6,7,2,3,0.456353,0,1,All,#4682B4,0
7,7,2,3,1.37866,0,1,All,#4682B4,0
8,7,2,3,0.354573,0,1,All,#4682B4,0
9,7,2,3,0.448631,0,1,All,#4682B4,0
10,7,2,3,1.3755,0,1,All,#4682B4,0
1,7,2.5,3,0.839949,0,1,All,#4682B4,0
2,7,2.5,3,0.716525,0,1,All,#4682B4,0
3,7,2.5,3,0.120358,0,1,All,#4682B4,0
4,7,2.5,3,0.789684,0,1,All,#4682B4,0
5,7,2.5,3,0.13477,0,1,All,#4682B4,0
6,7,2.5,3,1.51623,0,1,All,#4682B4,0
7,7,2.5,3,0.330048,0,1,All,#4682B4,0
8,7,2.5,3,0.35513,0,1,All,#4682B4,0
9,7,2.5,3,1.32845,1.30731,1,All,#4682B4,0
10,7,2.5,3,1.22017,0.473058,1,All,#4682B4,0
1,7,3,3,0.0250255,0.700255,1,All,#4682B4,0
2,7,3,3,2.24206,1.77801,1,All,#4682B4,0
3,7,3,3,0.00522758,0,1,All,#4682B4,0
4,7,3,3,0.877411,1.23141,1,All,#4682B4,0
5,7,3,3,0.0626532,0,1,All,#4682B4,0
6,7,3,3,2.71117,2.39748,1,All,#4682B4,0
7,7,3,3,1.82838,1.69546,1,All,#4682B4,0
8,7,3,3,0.128401,0,1,All,#4682B4,0
9,7,3,3,2.36754,2.74993,1,All,#4682B4,0
10,7,3,3,2.54565,2.19434,1,All,#4682B4,0
1,7,3.5,3.949,3.949,3.34008,0,All,#4682B4,0
2,7,3.5,3.949,3.949,3.88953,0,All,#4682B4,0
