iteration,convergenceIndicator,phase,beta_exp_pop,delta0_pop,p_pop,td_pop,b_exp_pop,h_0_pop,tc_pop,sigma_pop,phi_exp_pop,rho_exp_pop,alpha_exp_pop,omega_beta_exp,omega_delta0,omega_p,omega_td,omega_b_exp,omega_h_0,omega_tc,omega_sigma,omega_rho_exp,omega_alpha_exp,corr_beta_exp_b_exp,corr_delta0_b_exp,corr_h_0_b_exp,corr_p_b_exp,corr_rho_exp_b_exp,corr_sigma_b_exp,corr_tc_b_exp,corr_td_b_exp,corr_delta0_beta_exp,corr_h_0_beta_exp,corr_p_beta_exp,corr_rho_exp_beta_exp,corr_sigma_beta_exp,corr_tc_beta_exp,corr_td_beta_exp,corr_h_0_delta0,corr_p_delta0,corr_rho_exp_delta0,corr_sigma_delta0,corr_tc_delta0,corr_td_delta0,corr_p_h_0,corr_rho_exp_h_0,corr_sigma_h_0,corr_tc_h_0,corr_td_h_0,corr_rho_exp_p,corr_sigma_p,corr_tc_p,corr_td_p,corr_sigma_rho_exp,corr_tc_rho_exp,corr_td_rho_exp,corr_tc_sigma,corr_td_sigma,corr_td_tc,a1,b2,a3,b3
11,2191.09,1,-4.37069,0.400899,3.25529,2.08455,-1.79134,0.544113,5.47295,0.516069,-1.59909,-1.86147,-3.469,0.490905,1.23766,0.381844,0.349046,0.956067,0.153668,1.02047,0.516425,0.506791,0.773781,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.993736,0.441185,0.481477,0.619235
12,2176.27,1,-4.36387,0.372552,3.22719,2.08174,-1.79649,0.544077,5.33375,0.509287,-1.60198,-1.87198,-3.42905,0.478475,1.20975,0.372175,0.340208,0.931858,0.156394,0.994635,0.503349,0.497837,0.754188,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,1.00662,0.443182,0.478245,0.61764
13,2170.7,1,-4.37687,0.35534,3.22984,2.08044,-1.81331,0.54536,5.32436,0.516293,-1.57571,-1.84793,-3.44148,0.46636,1.17912,0.363745,0.331593,0.908263,0.152434,0.96945,0.490604,0.512577,0.735092,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.988734,0.446361,0.511129,0.611513
14,2166.89,1,-4.37589,0.356387,3.24042,2.05561,-1.81442,0.542514,5.36509,0.519885,-1.61356,-1.87427,-3.45997,0.454551,1.14927,0.364654,0.333799,0.885266,0.152273,0.944903,0.478182,0.499598,0.716479,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.990265,0.44372,0.502077,0.614384
15,2157.92,1,-4.36986,0.358891,3.23331,2.03502,-1.79631,0.538712,5.35083,0.513677,-1.63688,-1.88627,-3.50631,0.443042,1.12231,0.366931,0.344265,0.86285,0.154717,0.920977,0.466074,0.486948,0.698337,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.9764,0.440444,0.523971,0.605401
16,2154.16,1,-4.37749,0.364639,3.22528,2.04387,-1.80389,0.540168,5.40784,0.508758,-1.61578,-1.88861,-3.51911,0.431824,1.11175,0.387686,0.33976,0.841002,0.158621,0.897658,0.454273,0.504176,0.680655,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.976362,0.442334,0.46401,0.635514
17,2143.36,1,-4.38427,0.352316,3.24371,2.045,-1.78305,0.536546,5.30372,0.509212,-1.64678,-1.86916,-3.5017,0.42089,1.10638,0.393703,0.350557,0.819708,0.162413,0.874929,0.44277,0.49141,0.66342,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.969399,0.439245,0.527528,0.607431
18,2144.62,1,-4.38827,0.360608,3.26123,2.04023,-1.7947,0.53664,5.25916,0.50691,-1.63871,-1.86722,-3.48909,0.427324,1.10603,0.402014,0.342287,0.802459,0.160024,0.882888,0.431559,0.487193,0.646622,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.971632,0.445466,0.525276,0.612849
19,2152.64,1,-4.37448,0.361276,3.26691,2.03157,-1.79027,0.534129,5.35631,0.512221,-1.63478,-1.86676,-3.48364,0.456057,1.16497,0.413384,0.368859,0.803693,0.166456,0.91316,0.443459,0.487296,0.630249,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.967269,0.446287,0.522188,0.611089
20,2144.36,1,-4.3641,0.361097,3.25027,2.06076,-1.81164,0.535696,5.36004,0.50636,-1.62847,-1.89578,-3.51262,0.453392,1.15567,0.402917,0.371904,0.786984,0.166768,0.890038,0.451208,0.474957,0.614291,-0.755308,-0.533204,-0.941369,0.237561,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.390737,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.0314183,0.767358,0.451826,0.787716,-0.152808,-0.330087,0.743348,0.069124,0.755058,-0.322582,0.178099,0.756113,0.0175922,-0.187786,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.973064,0.450494,0.526654,0.608004
