iteration,convergenceIndicator,phase,beta_exp_pop,delta0_pop,p_pop,td_pop,b_exp_pop,h_0_pop,tc_pop,sigma_pop,phi_exp_pop,rho_exp_pop,alpha_exp_pop,omega_beta_exp,omega_delta0,omega_p,omega_td,omega_b_exp,omega_h_0,omega_tc,omega_sigma,omega_rho_exp,omega_alpha_exp,corr_beta_exp_b_exp,corr_delta0_b_exp,corr_h_0_b_exp,corr_p_b_exp,corr_rho_exp_b_exp,corr_sigma_b_exp,corr_tc_b_exp,corr_td_b_exp,corr_delta0_beta_exp,corr_h_0_beta_exp,corr_p_beta_exp,corr_rho_exp_beta_exp,corr_sigma_beta_exp,corr_tc_beta_exp,corr_td_beta_exp,corr_h_0_delta0,corr_p_delta0,corr_rho_exp_delta0,corr_sigma_delta0,corr_tc_delta0,corr_td_delta0,corr_p_h_0,corr_rho_exp_h_0,corr_sigma_h_0,corr_tc_h_0,corr_td_h_0,corr_rho_exp_p,corr_sigma_p,corr_tc_p,corr_td_p,corr_sigma_rho_exp,corr_tc_rho_exp,corr_td_rho_exp,corr_tc_sigma,corr_td_sigma,corr_td_tc,a1,b2,a3,b3
571,2063.12,1,-3.97282,0.773113,3.04508,1.91125,-2.30027,0.600855,6.72246,0.422772,-2.12787,-2.24641,-3.38171,0.581649,1.02349,0.548456,0.432028,1.39002,0.265658,1.83615,0.651836,0.693967,0.136697,-0.549155,-0.590073,-0.937557,0.08291,-0.884035,0.0314367,-0.364758,0.613385,0.605521,0.405019,-0.436079,0.280552,-0.363857,0.226305,-0.323854,0.523998,-0.00119719,0.498173,0.41512,0.85479,-0.492732,-0.195298,0.927424,0.0220076,0.367334,-0.439706,-0.128902,0.477519,0.152084,-0.532485,0.183428,0.416874,-0.392812,0.765206,-0.0767564,-0.265401,0.902099,0.418759,0.44693,0.596375
572,2059.02,1,-3.97002,0.801581,3.03799,1.88624,-2.31084,0.596947,6.58205,0.422785,-2.12918,-2.22219,-3.39699,0.571001,1.04918,0.561229,0.421089,1.38537,0.266918,1.81966,0.654848,0.677045,0.136275,-0.52733,-0.588236,-0.947777,0.0857622,-0.885544,0.0292824,-0.358504,0.608773,0.583332,0.409768,-0.435447,0.252842,-0.387782,0.210888,-0.329421,0.537421,0.0378936,0.473591,0.416237,0.856182,-0.496472,-0.198087,0.920246,0.00219661,0.358181,-0.454466,-0.114308,0.528471,0.194717,-0.523295,0.160011,0.382696,-0.416223,0.767387,-0.102793,-0.274418,0.91516,0.424491,0.40908,0.609567
573,2061.68,1,-3.96289,0.807298,3.01997,1.88898,-2.33459,0.604739,6.49438,0.41615,-2.14213,-2.22102,-3.39437,0.592432,1.06961,0.564698,0.410427,1.39661,0.26615,1.80555,0.672958,0.696063,0.147267,-0.513748,-0.577587,-0.948554,0.0938624,-0.874574,0.0246279,-0.372957,0.595064,0.589885,0.406974,-0.483791,0.236741,-0.385457,0.22651,-0.273608,0.526793,0.0292711,0.504867,0.412725,0.860175,-0.469796,-0.201663,0.914008,0.0106154,0.363541,-0.447115,-0.0883468,0.509186,0.190824,-0.503329,0.207419,0.432856,-0.440431,0.766765,-0.0843708,-0.269817,0.895644,0.420523,0.428445,0.604406
574,2061.82,1,-3.95574,0.812229,3.03206,1.89655,-2.37336,0.609411,6.42208,0.415507,-2.13606,-2.21144,-3.40621,0.578364,1.06922,0.59118,0.409406,1.40599,0.269435,1.82044,0.683961,0.743491,0.143538,-0.488423,-0.580394,-0.948247,0.0784984,-0.883211,-0.0348845,-0.391274,0.587049,0.589564,0.374477,-0.480337,0.219237,-0.349961,0.254094,-0.272361,0.530906,0.0143874,0.50657,0.451562,0.871723,-0.432428,-0.172881,0.925505,0.0756198,0.373049,-0.435015,-0.0957852,0.495493,0.183422,-0.506841,0.253181,0.439017,-0.383241,0.77552,-0.0666149,-0.247981,0.896279,0.414649,0.466086,0.588967
575,2051.54,1,-3.95216,0.83548,3.04018,1.91847,-2.35576,0.610556,6.54224,0.407548,-2.13882,-2.22897,-3.39778,0.563719,1.07377,0.576211,0.420085,1.3993,0.269222,1.81642,0.666643,0.748535,0.152277,-0.480869,-0.599787,-0.95081,0.0610531,-0.893678,-0.0342581,-0.408119,0.602461,0.57511,0.353574,-0.437736,0.216179,-0.346753,0.231038,-0.338464,0.553512,0.0457875,0.539438,0.463008,0.8696,-0.444683,-0.140863,0.931435,0.082172,0.402765,-0.457543,-0.0820635,0.524095,0.221781,-0.48143,0.237456,0.467423,-0.398248,0.785105,-0.0401093,-0.248446,0.895108,0.407018,0.453603,0.595481
576,2056.8,1,-3.9615,0.816246,3.04632,1.91295,-2.33517,0.610784,6.68212,0.413424,-2.13904,-2.24374,-3.37643,0.549881,1.06206,0.561621,0.450854,1.42771,0.2693,1.84329,0.649763,0.757489,0.151137,-0.512703,-0.604698,-0.953718,0.0754053,-0.908491,-0.0575086,-0.426855,0.621046,0.598593,0.404068,-0.448657,0.282489,-0.295773,0.278949,-0.351864,0.539964,0.0423945,0.5234,0.482662,0.876396,-0.46311,-0.166097,0.934542,0.0931015,0.403107,-0.467759,-0.12386,0.470576,0.1859,-0.459461,0.220904,0.454151,-0.421269,0.787473,-0.0139501,-0.24835,0.891321,0.407676,0.434851,0.598294
577,2045.8,1,-3.99901,0.814019,3.07659,1.86361,-2.34358,0.610529,6.70821,0.421667,-2.15283,-2.21983,-3.36283,0.538397,1.0435,0.568409,0.458972,1.42257,0.268343,1.79662,0.633311,0.738309,0.14731,-0.485563,-0.593111,-0.955103,0.0749823,-0.911437,-0.0223453,-0.434062,0.643644,0.614196,0.39315,-0.484536,0.249308,-0.365305,0.265041,-0.384235,0.54172,-0.011601,0.501391,0.422459,0.863572,-0.469753,-0.164298,0.934936,0.077767,0.429488,-0.485658,-0.106738,0.46308,0.140507,-0.431873,0.198772,0.471687,-0.44243,0.759819,0.0251116,-0.262282,0.896844,0.407302,0.428551,0.605957
578,2054.11,1,-4.01089,0.802416,3.07172,1.83595,-2.35582,0.61094,6.42204,0.411343,-2.13686,-2.20522,-3.37891,0.535852,1.07465,0.554017,0.447351,1.42034,0.263276,1.75112,0.617275,0.719615,0.14358,-0.501532,-0.571129,-0.958983,0.0423755,-0.920735,0.0056322,-0.437749,0.655437,0.643335,0.417523,-0.457998,0.298253,-0.367975,0.312242,-0.345787,0.515266,0.0202203,0.484453,0.375218,0.861184,-0.453033,-0.117188,0.933095,0.0198352,0.415028,-0.525823,-0.0697712,0.527077,0.167582,-0.46963,0.155226,0.46195,-0.494689,0.72107,-0.00641831,-0.257911,0.891389,0.411532,0.458695,0.595723
579,2049.01,1,-3.99956,0.735874,3.07585,1.84871,-2.36368,0.606949,6.19081,0.399513,-2.12853,-2.20441,-3.35559,0.549049,1.11907,0.577587,0.437643,1.39994,0.267436,1.70679,0.601645,0.701393,0.148139,-0.47532,-0.597332,-0.957649,0.0611649,-0.918862,0.0130858,-0.446869,0.648558,0.639705,0.386837,-0.50205,0.297493,-0.389325,0.326518,-0.30118,0.535533,0.0197052,0.491292,0.354615,0.877989,-0.452369,-0.128852,0.933373,0.00592376,0.409541,-0.520691,-0.114119,0.550024,0.169542,-0.455888,0.116932,0.438767,-0.456129,0.693251,0.00431806,-0.270864,0.902719,0.415912,0.452106,0.597157
580,2056.55,1,-3.98064,0.720436,3.05789,1.8602,-2.35824,0.608155,6.05604,0.399338,-2.17192,-2.22368,-3.32842,0.555687,1.1488,0.584926,0.428892,1.40665,0.272006,1.72902,0.598466,0.699132,0.144388,-0.471536,-0.581013,-0.953744,0.0902835,-0.905719,0.0099027,-0.435986,0.620663,0.637251,0.359112,-0.48444,0.24405,-0.350478,0.343159,-0.301197,0.52,0.0377234,0.430582,0.377716,0.877819,-0.435445,-0.136388,0.928149,0.0361111,0.408412,-0.496598,-0.144138,0.511632,0.1503,-0.466752,0.138462,0.404723,-0.416929,0.705974,0.0300949,-0.233449,0.894595,0.415816,0.461103,0.591585
581,2056.4,1,-3.98061,0.738084,3.05644,1.85537,-2.36584,0.604946,6.03058,0.408797,-2.17362,-2.23017,-3.34417,0.550309,1.12387,0.572426,0.435172,1.38717,0.275489,1.68524,0.588969,0.742257,0.148558,-0.429398,-0.550047,-0.954488,0.0348195,-0.910396,-0.0242353,-0.424315,0.641986,0.614807,0.31366,-0.489395,0.241396,-0.337494,0.339137,-0.241111,0.491711,0.0699638,0.426528,0.385416,0.866551,-0.405106,-0.0688292,0.92735,0.0632114,0.396102,-0.526175,-0.118975,0.503565,0.145937,-0.475589,0.165821,0.420119,-0.449269,0.714226,0.0242211,-0.193529,0.877533,0.41592,0.434753,0.599239
582,2066.47,1,-3.95681,0.740518,3.02253,1.87544,-2.34828,0.605337,6.15518,0.403181,-2.149,-2.24029,-3.34588,0.559901,1.09541,0.58334,0.424271,1.3952,0.273122,1.64257,0.603795,0.735151,0.146652,-0.400964,-0.539272,-0.948907,-0.00202455,-0.906583,-0.0242068,-0.411479,0.617017,0.582629,0.284763,-0.492348,0.235839,-0.335683,0.281024,-0.224611,0.472502,0.0753267,0.421024,0.407203,0.855298,-0.406672,-0.0500456,0.923306,0.0751537,0.388782,-0.481241,-0.10017,0.454585,0.141809,-0.531792,0.175682,0.422443,-0.406117,0.737493,0.0288257,-0.181947,0.897097,0.41613,0.438256,0.599933
583,2063.14,1,-3.95002,0.727994,3.02236,1.88258,-2.32729,0.604558,6.1879,0.420003,-2.14543,-2.2307,-3.34656,0.590304,1.10311,0.575777,0.413528,1.43723,0.271584,1.61929,0.588507,0.74597,0.15682,-0.412976,-0.555637,-0.953097,-0.0181706,-0.902656,-0.0340595,-0.417525,0.611604,0.577798,0.283772,-0.445138,0.201851,-0.335723,0.266448,-0.259288,0.504842,0.0826978,0.404243,0.413845,0.860752,-0.37414,-0.0184259,0.930574,0.0984905,0.414554,-0.492757,-0.0820295,0.465578,0.158397,-0.550686,0.167471,0.409493,-0.386582,0.752844,0.0262184,-0.151675,0.908862,0.410335,0.441696,0.596713
584,2058.32,1,-3.94541,0.71118,3.06684,1.88485,-2.34165,0.59853,6.21521,0.426275,-2.16213,-2.24715,-3.348,0.595391,1.10864,0.586132,0.40769,1.42694,0.274874,1.66075,0.601644,0.749263,0.157926,-0.425647,-0.57756,-0.951975,0.018962,-0.900659,-0.0345963,-0.429562,0.644094,0.564447,0.303068,-0.511225,0.220342,-0.338061,0.254937,-0.276258,0.522833,0.07548,0.430352,0.433315,0.86674,-0.435906,-0.043071,0.93128,0.0968763,0.419218,-0.52771,-0.0993399,0.455714,0.165911,-0.496654,0.177547,0.428141,-0.421553,0.767537,0.0147957,-0.217906,0.904642,0.414121,0.431148,0.592318
585,2060.32,1,-3.95856,0.749365,3.08767,1.91033,-2.33821,0.600217,6.20428,0.423941,-2.19125,-2.25411,-3.34799,0.592792,1.09154,0.584665,0.4124,1.42478,0.277089,1.71835,0.589463,0.757191,0.183432,-0.452905,-0.576137,-0.949116,0.0495201,-0.896633,-0.0265645,-0.421878,0.611205,0.562829,0.327446,-0.512311,0.240187,-0.323677,0.2692,-0.237364,0.518006,0.0853956,0.433017,0.451907,0.865617,-0.428439,-0.0866033,0.934642,0.0858574,0.40644,-0.476191,-0.130284,0.45891,0.16227,-0.521104,0.166278,0.415782,-0.38582,0.77424,-0.0102827,-0.210381,0.887653,0.41085,0.431068,0.606578
586,2057.62,1,-3.94013,0.750024,3.08109,1.9183,-2.33414,0.597817,6.32362,0.424447,-2.19828,-2.29209,-3.35556,0.577782,1.1014,0.569861,0.420636,1.42607,0.277246,1.71268,0.57657,0.740985,0.178788,-0.455223,-0.570581,-0.949366,0.101229,-0.925264,-0.00774751,-0.414347,0.630212,0.566337,0.31949,-0.503402,0.27017,-0.282221,0.281708,-0.288122,0.514256,0.0509122,0.429728,0.457983,0.875766,-0.439349,-0.130976,0.9488,0.0577016,0.391238,-0.500545,-0.179238,0.434823,0.145853,-0.475927,0.0963884,0.366306,-0.454195,0.768359,-0.0196107,-0.243624,0.909364,0.418613,0.455537,0.58972
587,2070.79,1,-3.92301,0.771941,3.07693,1.89521,-2.3599,0.599634,6.3289,0.427901,-2.19807,-2.27292,-3.34996,0.56619,1.1037,0.555614,0.435539,1.43287,0.275027,1.7122,0.578035,0.722223,0.179248,-0.491658,-0.571882,-0.95404,0.09789,-0.934067,-0.00134748,-0.42828,0.635971,0.610041,0.400455,-0.492017,0.332684,-0.282379,0.324974,-0.333897,0.500228,0.0496073,0.485651,0.422242,0.861339,-0.470769,-0.169711,0.961034,0.00446434,0.383043,-0.497685,-0.14959,0.468717,0.140099,-0.451456,0.108882,0.428759,-0.472717,0.755706,-0.0303362,-0.267645,0.893093,0.423092,0.436612,0.600419
588,2068.02,1,-3.91535,0.710484,3.05203,1.89598,-2.3693,0.605231,6.26293,0.424945,-2.17794,-2.27961,-3.34268,0.602711,1.07575,0.595103,0.434748,1.43725,0.270592,1.70917,0.563399,0.728434,0.174709,-0.464817,-0.602359,-0.948154,0.0768594,-0.937106,0.0524093,-0.414881,0.655295,0.577225,0.377232,-0.547318,0.320065,-0.36471,0.247971,-0.296519,0.51761,0.0412105,0.518696,0.381023,0.849864,-0.463995,-0.162572,0.961967,-0.048972,0.35639,-0.51368,-0.12781,0.505539,0.180055,-0.433767,0.0360032,0.40383,-0.501665,0.740813,0.0140201,-0.246534,0.903583,0.414921,0.455094,0.589419
589,2058.18,1,-3.93159,0.745047,3.04726,1.88811,-2.35937,0.608084,6.241,0.423721,-2.21216,-2.29024,-3.34936,0.601734,1.04851,0.597362,0.427019,1.45101,0.273283,1.68272,0.578378,0.725606,0.170286,-0.484498,-0.629392,-0.947375,0.0962413,-0.941857,0.0476633,-0.431011,0.650127,0.572426,0.378676,-0.523659,0.348828,-0.319325,0.265703,-0.300688,0.546615,0.0508403,0.563112,0.431625,0.871307,-0.445397,-0.183884,0.964666,-0.030384,0.387547,-0.503148,-0.148978,0.506806,0.177656,-0.446275,0.0353049,0.436256,-0.496885,0.74921,-0.0158156,-0.241387,0.902097,0.408423,0.444785,0.592185
590,2044.76,1,-3.92528,0.749002,3.04536,1.8871,-2.37975,0.611726,6.12156,0.41596,-2.19832,-2.2587,-3.34338,0.586498,1.04053,0.593138,0.433764,1.44034,0.272499,1.66744,0.563733,0.714012,0.165974,-0.474306,-0.631761,-0.947256,0.0878021,-0.942127,0.0186219,-0.453757,0.632863,0.535412,0.377823,-0.504472,0.33088,-0.350869,0.23248,-0.340217,0.565817,0.08012,0.574126,0.473883,0.89548,-0.462637,-0.19512,0.969394,-0.00588689,0.420232,-0.465622,-0.149666,0.524953,0.20878,-0.464746,0.0631225,0.453973,-0.471415,0.756696,-0.0413991,-0.280135,0.909512,0.408151,0.463761,0.587796
591,2047,1,-3.95593,0.739468,3.03536,1.88064,-2.38483,0.613527,6.05097,0.415496,-2.19813,-2.24664,-3.37048,0.571647,1.05216,0.596867,0.429176,1.44555,0.273429,1.62618,0.578945,0.7084,0.161771,-0.512115,-0.62169,-0.945073,0.0675777,-0.934774,0.0374153,-0.447849,0.631364,0.611497,0.42119,-0.428992,0.363698,-0.314031,0.297283,-0.393257,0.556465,0.0890876,0.526326,0.424337,0.888521,-0.462835,-0.199569,0.966283,-0.0287461,0.418615,-0.450214,-0.154922,0.501498,0.203129,-0.478754,0.030102,0.420589,-0.461846,0.729275,-0.0134862,-0.277157,0.895157,0.407066,0.437461,0.596918
592,2053.46,1,-3.94081,0.729595,3.03459,1.85325,-2.38113,0.609912,6.13917,0.422302,-2.20066,-2.24565,-3.37367,0.567136,1.04178,0.601223,0.435425,1.45778,0.276129,1.585,0.584213,0.701185,0.157675,-0.499486,-0.606226,-0.949944,0.08078,-0.93278,0.055454,-0.438701,0.662296,0.617472,0.399466,-0.465703,0.35934,-0.354956,0.290079,-0.382995,0.53264,0.0564618,0.500074,0.381652,0.878315,-0.447503,-0.185707,0.963009,-0.0467255,0.404452,-0.510469,-0.160701,0.56383,0.211667,-0.434687,0.00375485,0.39851,-0.510254,0.712013,-0.0167787,-0.278533,0.895526,0.413028,0.448958,0.5909
593,2060.57,1,-3.94335,0.759522,3.02893,1.85213,-2.40865,0.613394,6.1872,0.421546,-2.21057,-2.23744,-3.36226,0.588615,1.07439,0.632852,0.446085,1.46242,0.27555,1.62631,0.569421,0.709485,0.162169,-0.484581,-0.615472,-0.952285,0.0532731,-0.931635,0.0532711,-0.458145,0.64424,0.616343,0.404986,-0.502386,0.371029,-0.35863,0.324479,-0.339735,0.539992,0.0896688,0.502348,0.385808,0.888893,-0.441693,-0.150474,0.952297,-0.067456,0.408816,-0.501178,-0.14525,0.61592,0.229145,-0.433545,-0.0341431,0.390718,-0.495858,0.690138,-0.00332502,-0.266409,0.902635,0.416632,0.451617,0.591404
594,2070.51,1,-3.95674,0.78651,3.0409,1.83557,-2.40903,0.617616,6.26745,0.42006,-2.18927,-2.20635,-3.34945,0.594925,1.0787,0.631553,0.441437,1.48629,0.27886,1.6064,0.570229,0.732464,0.184442,-0.497901,-0.619645,-0.953469,0.0707433,-0.919872,0.0682878,-0.449052,0.647627,0.623401,0.409357,-0.508231,0.354273,-0.348653,0.33057,-0.300289,0.56187,0.0755337,0.473049,0.373288,0.884577,-0.423332,-0.141664,0.942509,-0.0519105,0.418419,-0.518066,-0.147686,0.600082,0.222477,-0.428626,-0.0506825,0.343801,-0.537396,0.6899,-0.00815528,-0.24747,0.912076,0.403837,0.424718,0.59844
595,2059.2,1,-3.96217,0.772647,3.04614,1.82169,-2.41794,0.614536,6.25248,0.417891,-2.22279,-2.22892,-3.35148,0.617208,1.08232,0.615561,0.435741,1.49114,0.277853,1.58437,0.580813,0.723888,0.19091,-0.492422,-0.64013,-0.959087,0.0803648,-0.929432,0.101159,-0.424632,0.655959,0.622033,0.381161,-0.510326,0.360853,-0.37925,0.287794,-0.291584,0.567143,0.0319569,0.498508,0.336714,0.859844,-0.410246,-0.132524,0.953147,-0.0703361,0.400557,-0.54832,-0.145201,0.581477,0.200517,-0.439155,-0.0860226,0.326109,-0.570133,0.691414,0.00307527,-0.231934,0.899065,0.408756,0.455784,0.584594
596,2058.69,1,-3.94918,0.79643,3.06073,1.80225,-2.46293,0.618423,6.24359,0.410528,-2.23622,-2.20792,-3.32508,0.603252,1.08167,0.599975,0.455904,1.46352,0.281494,1.54426,0.571542,0.728264,0.186076,-0.469052,-0.60175,-0.950138,0.110619,-0.914516,0.0261429,-0.420978,0.678953,0.627094,0.342551,-0.470201,0.240113,-0.375763,0.289149,-0.348356,0.512846,0.0439196,0.420212,0.325593,0.849774,-0.429092,-0.194158,0.941091,-0.00835909,0.381674,-0.543247,-0.14011,0.562219,0.202806,-0.380521,0.0487158,0.321638,-0.577394,0.703298,-0.00348504,-0.224712,0.90135,0.414642,0.449863,0.586127
597,2063.3,1,-3.94963,0.758133,3.05608,1.8018,-2.46874,0.618628,6.05376,0.411391,-2.25292,-2.18376,-3.31117,0.609992,1.14838,0.584783,0.474323,1.46176,0.279569,1.60588,0.579858,0.726923,0.181365,-0.455427,-0.587152,-0.951922,0.100194,-0.918704,0.0643806,-0.393779,0.67091,0.625938,0.306405,-0.470008,0.20559,-0.370033,0.290118,-0.361776,0.480406,0.0715961,0.417443,0.315479,0.858389,-0.439768,-0.147795,0.938482,-0.0577966,0.327266,-0.536841,-0.0694377,0.590898,0.248903,-0.384488,0.0377726,0.309758,-0.58247,0.701187,-0.00282318,-0.237987,0.900389,0.420482,0.433447,0.590985
598,2070.14,1,-3.95542,0.800176,3.05451,1.80008,-2.45257,0.619137,6.03623,0.399302,-2.26932,-2.18751,-3.32213,0.610413,1.17291,0.598825,0.462313,1.44685,0.277859,1.66455,0.574639,0.734255,0.176773,-0.468852,-0.579683,-0.948928,0.100937,-0.913666,0.0998517,-0.388785,0.660653,0.57462,0.306242,-0.477271,0.181345,-0.412887,0.266839,-0.295146,0.474663,0.163988,0.401935,0.328354,0.854645,-0.441786,-0.134161,0.938448,-0.0759225,0.326932,-0.543632,-0.0464699,0.624817,0.292538,-0.418084,0.0213855,0.301239,-0.57884,0.688179,-0.000729135,-0.238059,0.913221,0.411982,0.414469,0.598606
599,2058.24,1,-3.96862,0.789813,3.06719,1.79989,-2.45864,0.618741,6.02585,0.405195,-2.26666,-2.13673,-3.27514,0.599323,1.18173,0.589513,0.451702,1.43355,0.279837,1.71524,0.560089,0.715663,0.172297,-0.472922,-0.589412,-0.951426,0.119041,-0.924964,0.111107,-0.386764,0.659851,0.590227,0.324017,-0.467174,0.232384,-0.357031,0.30919,-0.294632,0.472594,0.152982,0.467696,0.354624,0.873811,-0.433703,-0.165985,0.942927,-0.109616,0.310097,-0.536194,-0.110022,0.623491,0.29686,-0.413791,0.00930195,0.348909,-0.529104,0.700113,0.00135865,-0.243072,0.906506,0.417018,0.415226,0.595292
600,2046.78,1,-3.97589,0.790042,3.07678,1.82372,-2.44197,0.618023,6.05635,0.407402,-2.25199,-2.16774,-3.28463,0.614565,1.18537,0.585694,0.46031,1.47778,0.282241,1.68798,0.569901,0.709069,0.167934,-0.515399,-0.574585,-0.947478,0.10765,-0.921681,0.101117,-0.384807,0.669622,0.591317,0.337533,-0.457138,0.241405,-0.406587,0.309423,-0.353889,0.458339,0.166297,0.425823,0.369036,0.885633,-0.458787,-0.127301,0.951848,-0.0696409,0.31596,-0.547126,-0.0612189,0.666448,0.293848,-0.413552,0.0423052,0.328897,-0.558901,0.676215,-0.0385018,-0.269936,0.897329,0.412658,0.410033,0.598028
601,2051.12,1,-3.9447,0.805858,3.08241,1.79414,-2.44447,0.611929,6.17584,0.404326,-2.24141,-2.17712,-3.29163,0.629964,1.15535,0.591234,0.475761,1.47962,0.285638,1.64523,0.584479,0.71639,0.177937,-0.44279,-0.561056,-0.950663,0.0977306,-0.916275,0.100379,-0.389835,0.708211,0.539747,0.261977,-0.498097,0.16568,-0.458463,0.238576,-0.29373,0.450113,0.161877,0.41732,0.356878,0.874083,-0.461775,-0.108628,0.949968,-0.0679149,0.316857,-0.606538,-0.0543362,0.686214,0.326098,-0.380396,0.0445824,0.340041,-0.599715,0.675835,-0.01989,-0.277347,0.897978,0.415214,0.411069,0.596194
602,2059.34,1,-3.95649,0.818727,3.08222,1.77984,-2.43193,0.611179,6.10331,0.403395,-2.23443,-2.17234,-3.29279,0.636734,1.1261,0.576264,0.494368,1.47934,0.286589,1.60749,0.59568,0.719919,0.177653,-0.456543,-0.533247,-0.947426,0.148731,-0.909283,0.14027,-0.335922,0.706266,0.477204,0.27818,-0.531367,0.147847,-0.486477,0.186543,-0.302889,0.445403,0.156156,0.413221,0.391644,0.881869,-0.452351,-0.145105,0.937489,-0.0979367,0.283922,-0.598964,-0.0599627,0.662491,0.293041,-0.358893,0.0533859,0.320006,-0.59607,0.692285,0.0225686,-0.235831,0.901937,0.417948,0.411398,0.601941
603,2064.79,1,-3.94873,0.833873,3.0972,1.76068,-2.43825,0.608833,6.20483,0.405545,-2.2161,-2.17328,-3.29494,0.637192,1.09948,0.588223,0.488369,1.47278,0.289511,1.61046,0.600585,0.716952,0.173914,-0.442812,-0.499022,-0.942675,0.161045,-0.900211,0.143843,-0.342338,0.709909,0.418873,0.252691,-0.531224,0.114065,-0.52105,0.153203,-0.311301,0.394679,0.20246,0.389963,0.432478,0.901073,-0.42704,-0.187449,0.928548,-0.105478,0.282842,-0.582063,-0.0705426,0.68403,0.319013,-0.335542,0.0745042,0.333162,-0.575125,0.688334,0.0259217,-0.240699,0.893525,0.425312,0.401135,0.60691
604,2062.63,1,-3.95281,0.80762,3.09195,1.79252,-2.43538,0.610588,6.19831,0.412809,-2.22281,-2.17676,-3.31646,0.640459,1.11336,0.587036,0.480082,1.471,0.282938,1.62453,0.598315,0.711805,0.169511,-0.45763,-0.490298,-0.948205,0.153787,-0.89471,0.122229,-0.363217,0.681738,0.444543,0.258248,-0.534661,0.108772,-0.545667,0.149609,-0.32432,0.383666,0.203929,0.351948,0.400394,0.890851,-0.416541,-0.146322,0.94002,-0.0523497,0.312358,-0.572797,-0.0277989,0.698593,0.34744,-0.331299,0.0976128,0.324884,-0.566973,0.674822,0.0238069,-0.261243,0.890481,0.415622,0.448305,0.593624
605,2071.91,1,-3.96115,0.785575,3.10017,1.81506,-2.4264,0.610177,6.16794,0.418362,-2.223,-2.16613,-3.34554,0.628434,1.12704,0.580663,0.48562,1.4789,0.286051,1.59206,0.583508,0.699742,0.174323,-0.476292,-0.525222,-0.953406,0.14378,-0.88658,0.136924,-0.353515,0.667082,0.46855,0.311349,-0.547272,0.124328,-0.520687,0.174003,-0.309024,0.418495,0.213316,0.363927,0.398815,0.875707,-0.472781,-0.150035,0.927529,-0.0907641,0.30079,-0.555249,0.00948612,0.693024,0.316261,-0.33507,0.0840744,0.300954,-0.575861,0.664799,0.0228819,-0.238717,0.903067,0.4137,0.453741,0.591371
606,2066.55,1,-3.95435,0.797223,3.07476,1.8222,-2.41734,0.60765,6.19608,0.411543,-2.1843,-2.18727,-3.3398,0.653028,1.13245,0.577144,0.473324,1.50362,0.295842,1.55175,0.568733,0.717402,0.169909,-0.486367,-0.502347,-0.949573,0.15615,-0.888758,0.141332,-0.354257,0.657131,0.461367,0.325306,-0.567337,0.158187,-0.571337,0.156583,-0.301076,0.400815,0.182738,0.348173,0.363687,0.866819,-0.456134,-0.173593,0.924077,-0.081607,0.301318,-0.527044,-0.0331382,0.69112,0.305499,-0.357709,0.0729507,0.300386,-0.562478,0.652599,0.00476147,-0.260297,0.887668,0.417936,0.4263,0.598914
607,2060.17,1,-3.92735,0.773738,3.05897,1.81684,-2.38802,0.603429,6.12474,0.409594,-2.18328,-2.23062,-3.36016,0.636493,1.16618,0.576601,0.474468,1.50203,0.296848,1.59888,0.554332,0.721703,0.178408,-0.45729,-0.52874,-0.949773,0.139588,-0.910069,0.136643,-0.386366,0.660615,0.497114,0.298797,-0.531429,0.173679,-0.550754,0.221531,-0.292558,0.431851,0.154989,0.352647,0.35557,0.88035,-0.428811,-0.162115,0.936642,-0.09008,0.322491,-0.543464,-0.0644735,0.689771,0.27067,-0.384454,0.00374328,0.277987,-0.566277,0.617387,0.0163891,-0.244465,0.894783,0.414259,0.445727,0.590154
608,2055.02,1,-3.89122,0.784553,3.05414,1.80857,-2.39322,0.602207,6.13522,0.407943,-2.19691,-2.26013,-3.37821,0.620377,1.1874,0.562001,0.478196,1.52031,0.300786,1.60165,0.541043,0.726812,0.173891,-0.4449,-0.503247,-0.951128,0.152116,-0.910806,0.116513,-0.386629,0.677077,0.506722,0.293176,-0.540967,0.164275,-0.529646,0.216534,-0.279436,0.408998,0.133987,0.336267,0.374562,0.890925,-0.413334,-0.165684,0.939442,-0.0834431,0.323523,-0.57507,-0.0593161,0.735581,0.296566,-0.349285,0.020336,0.293642,-0.60419,0.640598,-0.0290532,-0.257923,0.887839,0.413181,0.461186,0.587515
609,2062.36,1,-3.89852,0.773647,3.05203,1.81959,-2.38311,0.600597,6.07866,0.408604,-2.17813,-2.24113,-3.38179,0.604668,1.15733,0.547771,0.477124,1.52549,0.303549,1.62007,0.541952,0.745692,0.169488,-0.451498,-0.519075,-0.954531,0.148039,-0.895494,0.137576,-0.392574,0.677334,0.539962,0.312299,-0.525932,0.148095,-0.512809,0.266945,-0.291739,0.43519,0.104118,0.361773,0.362509,0.904772,-0.385359,-0.163074,0.926807,-0.102464,0.329272,-0.575796,-0.0498827,0.727132,0.265079,-0.331765,0.0238675,0.29458,-0.59197,0.603489,0.0181114,-0.22673,0.896647,0.414141,0.443413,0.596713
