pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-3.36685,0.00809324,-3.4833,0.00433619,-2.54049,0.0102361,All
-3.03504,0,-3.36347,0.00650428,-2.27814,0.0102361,All
-2.70323,0,-3.24363,0.00216809,-2.01579,0.0204722,All
-2.37142,0.0323729,-3.1238,0.00650428,-1.75345,0.0102361,All
-2.03961,0,-3.00396,0.0108405,-1.4911,0.0204722,All
-1.7078,0.00809324,-2.88413,0.0108405,-1.22875,0.143305,All
-1.37599,0.0485594,-2.76429,0.0108405,-0.966402,0.23543,All
-1.04418,0.145678,-2.64446,0.0108405,-0.704054,0.358264,All
-0.712368,0.315636,-2.52462,0.0173447,-0.441706,0.429916,All
-0.380557,0.485594,-2.40478,0.0281852,-0.179358,0.429916,All
-0.0487465,0.445128,-2.28495,0.023849,0.0829902,0.511805,All
0.283064,0.437035,-2.16511,0.0303533,0.345338,0.327555,All
0.614875,0.55034,-2.04528,0.0542023,0.607686,0.501569,All
0.946686,0.283263,-1.92544,0.0390257,0.870034,0.358264,All
1.2785,0.226611,-1.80561,0.069379,1.13238,0.204722,All
1.61031,0.121399,-1.68577,0.069379,1.39473,0.18425,All
1.94212,0.0323729,-1.56594,0.119245,1.65708,0.112597,All
2.27393,0.0161865,-1.4461,0.1019,1.91943,0.0614166,All
2.60574,0,-1.32627,0.13659,2.18177,0.0307083,All
2.93755,0.00809324,-1.20643,0.169111,2.44412,0.0409444,All
,,-1.0866,0.162607,,,All
,,-0.966762,0.195128,,,All
,,-0.846926,0.310037,,,All
,,-0.727091,0.277516,,,All
,,-0.607256,0.305701,,,All
,,-0.487421,0.210305,,,All
,,-0.367585,0.340391,,,All
,,-0.24775,0.381584,,,All
,,-0.127915,0.370744,,,All
,,-0.00807944,0.40977,,,All
,,0.111756,0.476981,,,All
,,0.231591,0.450963,,,All
,,0.351426,0.498662,,,All
,,0.471262,0.479149,,,All
,,0.591097,0.394593,,,All
,,0.710932,0.398929,,,All
,,0.830767,0.383753,,,All
,,0.950603,0.236322,,,All
,,1.07044,0.244995,,,All
,,1.19027,0.177784,,,All
,,1.31011,0.160439,,,All
,,1.42994,0.145262,,,All
,,1.54978,0.114909,,,All
,,1.66961,0.0888918,,,All
,,1.78945,0.0650428,,,All
,,1.90928,0.0411938,,,All
,,2.02912,0.0476981,,,All
,,2.14896,0.0260171,,,All
,,2.26879,0.0325214,,,All
,,2.38863,0.0303533,,,All
,,2.50846,0.0173447,,,All
,,2.6283,0.0173447,,,All
,,2.74813,0.00650428,,,All
,,2.86797,0.00650428,,,All
,,2.9878,0.00216809,,,All
,,3.10764,0.00216809,,,All
,,3.22747,0,,,All
,,3.34731,0.00216809,,,All
,,3.46714,0.0216809,,,All
,,3.58698,0,,,All
,,3.70681,0.00216809,,,All
,,3.82665,0,,,All
,,3.94648,0.0195128,,,All
