pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.518723,0.2711,-1.89191,0.02711,-0.277367,0.2711,All
-0.518551,0.273657,-1.88384,0.0273657,-0.276306,0.273657,All
-0.515971,0.276215,-1.8837,0.0276215,-0.275638,0.276215,All
-0.514447,0.278772,-1.8818,0.0278772,-0.274996,0.278772,All
-0.513547,0.28133,-1.87854,0.028133,-0.271495,0.28133,All
-0.508055,0.283887,-1.87536,0.0283887,-0.264527,0.283887,All
-0.504653,0.286445,-1.87387,0.0286445,-0.263867,0.286445,All
-0.502043,0.289003,-1.86825,0.0289003,-0.262729,0.289003,All
-0.499566,0.29156,-1.86724,0.029156,-0.25961,0.29156,All
-0.498023,0.294118,-1.8661,0.0294118,-0.245385,0.294118,All
-0.497697,0.296675,-1.861,0.0296675,-0.24486,0.296675,All
-0.496826,0.299233,-1.85982,0.0299233,-0.244009,0.299233,All
-0.494837,0.30179,-1.85919,0.030179,-0.240926,0.30179,All
-0.494286,0.304348,-1.85686,0.0304348,-0.240913,0.304348,All
-0.492844,0.306905,-1.85652,0.0306905,-0.237228,0.306905,All
-0.492101,0.309463,-1.85549,0.0309463,-0.236756,0.309463,All
-0.491898,0.31202,-1.8464,0.031202,-0.234227,0.31202,All
-0.491669,0.314578,-1.842,0.0314578,-0.234112,0.314578,All
-0.491036,0.317136,-1.84069,0.0317136,-0.228551,0.317136,All
-0.490478,0.319693,-1.83586,0.0319693,-0.227242,0.319693,All
-0.490222,0.322251,-1.82933,0.0322251,-0.226469,0.322251,All
-0.488587,0.324808,-1.8286,0.0324808,-0.221251,0.324808,All
-0.488323,0.327366,-1.82495,0.0327366,-0.218038,0.327366,All
-0.487654,0.329923,-1.81992,0.0329923,-0.216583,0.329923,All
-0.486169,0.332481,-1.81907,0.0332481,-0.214188,0.332481,All
-0.485912,0.335038,-1.8127,0.0335038,-0.210095,0.335038,All
-0.484067,0.337596,-1.81019,0.0337596,-0.202636,0.337596,All
-0.48395,0.340153,-1.81003,0.0340153,-0.201674,0.340153,All
-0.483645,0.342711,-1.8084,0.0342711,-0.199432,0.342711,All
-0.482296,0.345269,-1.80827,0.0345269,-0.195819,0.345269,All
-0.481023,0.347826,-1.80776,0.0347826,-0.186939,0.347826,All
-0.478912,0.350384,-1.80772,0.0350384,-0.185123,0.350384,All
-0.477168,0.352941,-1.8061,0.0352941,-0.184484,0.352941,All
-0.476212,0.355499,-1.80314,0.0355499,-0.181018,0.355499,All
-0.47463,0.358056,-1.8021,0.0358056,-0.179571,0.358056,All
-0.473212,0.360614,-1.79889,0.0360614,-0.17461,0.360614,All
-0.472631,0.363171,-1.7957,0.0363171,-0.173989,0.363171,All
-0.469656,0.365729,-1.79556,0.0365729,-0.171832,0.365729,All
-0.469135,0.368286,-1.792,0.0368286,-0.167257,0.368286,All
-0.468983,0.370844,-1.79187,0.0370844,-0.16328,0.370844,All
-0.468122,0.373402,-1.79146,0.0373402,-0.16295,0.373402,All
-0.467246,0.375959,-1.78794,0.0375959,-0.160796,0.375959,All
-0.466105,0.378517,-1.77878,0.0378517,-0.158781,0.378517,All
-0.465702,0.381074,-1.77611,0.0381074,-0.158598,0.381074,All
-0.465408,0.383632,-1.77587,0.0383632,-0.153381,0.383632,All
-0.464964,0.386189,-1.77565,0.0386189,-0.147636,0.386189,All
-0.464324,0.388747,-1.77265,0.0388747,-0.146556,0.388747,All
-0.463826,0.391304,-1.76179,0.0391304,-0.146374,0.391304,All
-0.463057,0.393862,-1.75622,0.0393862,-0.143856,0.393862,All
-0.462848,0.396419,-1.7519,0.0396419,-0.140592,0.396419,All
-0.460494,0.398977,-1.74978,0.0398977,-0.139921,0.398977,All
-0.455053,0.401535,-1.7481,0.0401535,-0.137292,0.401535,All
-0.453913,0.404092,-1.74743,0.0404092,-0.137225,0.404092,All
-0.453319,0.40665,-1.73976,0.040665,-0.134037,0.40665,All
-0.450372,0.409207,-1.73873,0.0409207,-0.130952,0.409207,All
-0.449937,0.411765,-1.73334,0.0411765,-0.126193,0.411765,All
-0.449488,0.414322,-1.73222,0.0414322,-0.12613,0.414322,All
-0.446907,0.41688,-1.72744,0.041688,-0.124402,0.41688,All
