pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.38506,0.0435325,-2.49529,0.0282785,-1.60706,0.0283127,All
-1.13831,0.0761819,-2.40342,0.0282785,-1.41737,0.0424691,All
-0.891556,0.304728,-2.31154,0.0254506,-1.22767,0.0566254,All
-0.644805,0.69652,-2.21966,0.0452456,-1.03797,0.0849381,All
-0.398054,1.38216,-2.12778,0.0424177,-0.848275,0.254814,All
-0.151303,0.598572,-2.03591,0.0480734,-0.658578,0.226502,All
0.0954478,0.17413,-1.94403,0.073524,-0.468881,0.382222,All
0.342199,0.185013,-1.85215,0.0961468,-0.279183,0.877694,All
0.58895,0.152364,-1.76028,0.0791797,-0.089486,1.1042,All
0.835701,0.17413,-1.6684,0.127253,0.100211,0.637036,All
1.08245,0.141481,-1.57652,0.124425,0.289909,0.382222,All
1.3292,0.0652988,-1.48465,0.161187,0.479606,0.283127,All
1.57595,0.0652988,-1.39277,0.175327,0.669303,0.169876,All
1.8227,0.0544156,-1.30089,0.152704,0.859001,0.240658,All
2.06946,0.0435325,-1.20901,0.209261,1.0487,0.169876,All
2.31621,0.0652988,-1.11714,0.186638,1.2384,0.198189,All
2.56296,0.0217663,-1.02526,0.169671,1.42809,0.0707818,All
2.80971,0,-0.933383,0.206433,1.61779,0.15572,All
3.05646,0,-0.841506,0.237539,1.80749,0.0707818,All
3.30321,0.0108831,-0.749629,0.237539,1.99718,0.0990945,All
,,-0.657752,0.26299,,,All
,,-0.565875,0.220572,,,All
,,-0.473998,0.248851,,,All
,,-0.382121,0.2234,,,All
,,-0.290244,0.251678,,,All
,,-0.198367,0.271473,,,All
,,-0.10649,0.330858,,,All
,,-0.0146133,1.89183,,,All
,,0.0772637,0.30258,,,All
,,0.169141,0.274301,,,All
,,0.261018,0.274301,,,All
,,0.352895,0.311063,,,All
,,0.444772,0.279957,,,All
,,0.536649,0.32803,,,All
,,0.628526,0.251678,,,All
,,0.720403,0.200777,,,All
,,0.81228,0.265818,,,All
,,0.904157,0.240367,,,All
,,0.996034,0.234711,,,All
,,1.08791,0.28844,,,All
,,1.17979,0.226228,,,All
,,1.27166,0.226228,,,All
,,1.36354,0.197949,,,All
,,1.45542,0.164015,,,All
,,1.5473,0.152704,,,All
,,1.63917,0.130081,,,All
,,1.73105,0.121597,,,All
,,1.82293,0.0989746,,,All
,,1.9148,0.0480734,,,All
,,2.00668,0.0424177,,,All
,,2.09856,0.0706962,,,All
,,2.19043,0.0311063,,,All
,,2.28231,0.0311063,,,All
,,2.37419,0.0197949,,,All
,,2.46607,0.0226228,,,All
,,2.55794,0.0197949,,,All
,,2.64982,0.0113114,,,All
,,2.7417,0.00565569,,,All
,,2.83357,0.00565569,,,All
,,2.92545,0.00848354,,,All
,,3.01733,0.00565569,,,All
,,3.1092,0.00282785,,,All
,,3.20108,0.00565569,,,All
