iteration,E_beta_exp,sd_beta_exp,E_delta0,sd_delta0,E_p,sd_p,E_td,sd_td,E_b_exp,sd_b_exp,E_h_0,sd_h_0,E_tc,sd_tc,E_sigma,sd_sigma,E_rho_exp,sd_rho_exp,E_alpha_exp,sd_alpha_exp
29,-3.50959,0.270608,1.87714,0.429937,2.74237,0.241583,1.87231,0.162594,-2.6277,0.479923,0.663208,0.10417,5.9463,0.649121,0.505872,0.217056,-2.10951,0.340271,-3.72659,0.240763
30,-3.51015,0.271447,1.8793,0.430184,2.74395,0.242372,1.87301,0.162446,-2.62724,0.480529,0.663208,0.104285,5.94833,0.651702,0.50657,0.217066,-2.10873,0.341428,-3.72701,0.240626
31,-3.51085,0.271956,1.88179,0.431923,2.74517,0.243318,1.87355,0.162054,-2.62717,0.480831,0.663163,0.104516,5.94977,0.653465,0.506259,0.216797,-2.10939,0.342557,-3.727,0.24043
32,-3.51082,0.273482,1.88395,0.433858,2.74614,0.244599,1.87395,0.162523,-2.62728,0.481476,0.663098,0.104618,5.95002,0.654713,0.505929,0.216939,-2.1098,0.343063,-3.72657,0.240667
33,-3.51211,0.274539,1.88535,0.435802,2.74674,0.245746,1.87456,0.163345,-2.6269,0.482546,0.663036,0.10484,5.94761,0.658257,0.50568,0.216946,-2.1096,0.343627,-3.72669,0.241255
34,-3.51232,0.274846,1.89013,0.43778,2.74656,0.247188,1.8751,0.163548,-2.62622,0.483424,0.662955,0.105047,5.94766,0.663324,0.505231,0.217683,-2.11019,0.34418,-3.72722,0.242236
35,-3.51189,0.274738,1.89469,0.438756,2.74607,0.248608,1.87529,0.163389,-2.62552,0.484153,0.662901,0.105299,5.94417,0.668344,0.504661,0.218454,-2.11074,0.345422,-3.72715,0.242522
36,-3.51095,0.275054,1.89742,0.440414,2.74509,0.249071,1.87545,0.162975,-2.62539,0.485571,0.662941,0.105591,5.94191,0.671664,0.50422,0.218763,-2.11112,0.345711,-3.72727,0.242391
37,-3.51019,0.275025,1.90151,0.441434,2.74491,0.24949,1.87543,0.163193,-2.62548,0.487298,0.66291,0.106063,5.93831,0.674852,0.50367,0.219249,-2.11163,0.346084,-3.72735,0.243148
38,-3.50965,0.274742,1.90675,0.443238,2.74462,0.250152,1.87555,0.163209,-2.62491,0.48916,0.662904,0.106425,5.93477,0.678463,0.503173,0.219433,-2.11262,0.345824,-3.72743,0.243344
39,-3.50938,0.274724,1.91026,0.445359,2.74458,0.250596,1.87584,0.163471,-2.62448,0.490907,0.662892,0.106838,5.93037,0.680589,0.502555,0.219574,-2.11379,0.345379,-3.72758,0.243766
40,-3.50945,0.274162,1.91529,0.448452,2.74487,0.251389,1.87584,0.16367,-2.6243,0.49218,0.662902,0.107212,5.92505,0.683614,0.50215,0.220492,-2.11422,0.345854,-3.72749,0.243966
41,-3.5093,0.273681,1.91852,0.451159,2.74505,0.251631,1.87567,0.163536,-2.62418,0.493569,0.662828,0.107603,5.92076,0.68766,0.501631,0.220862,-2.11503,0.345975,-3.72744,0.243623
42,-3.50942,0.273244,1.91959,0.452445,2.74497,0.251486,1.87566,0.163471,-2.62353,0.495063,0.662761,0.107853,5.9157,0.690363,0.501261,0.221977,-2.11544,0.345824,-3.72684,0.242726
43,-3.50929,0.272714,1.92034,0.454105,2.74489,0.251215,1.87556,0.163501,-2.62291,0.496659,0.662675,0.108143,5.91056,0.692232,0.500633,0.222131,-2.11573,0.345184,-3.72665,0.241796
44,-3.50932,0.272415,1.92224,0.455269,2.74461,0.251007,1.87592,0.163313,-2.62197,0.498149,0.662564,0.108448,5.90441,0.692051,0.500317,0.222493,-2.1152,0.344808,-3.72677,0.241206
45,-3.50901,0.272047,1.92259,0.457146,2.74412,0.251316,1.87643,0.16299,-2.62116,0.49926,0.662478,0.108695,5.9009,0.692189,0.500114,0.222918,-2.11548,0.345007,-3.72663,0.241419
46,-3.50864,0.271359,1.92287,0.45829,2.7435,0.251969,1.87681,0.162852,-2.62052,0.499985,0.662428,0.108959,5.89857,0.691682,0.499981,0.222638,-2.11555,0.345145,-3.72674,0.24144
47,-3.50828,0.271398,1.92304,0.458288,2.74283,0.252044,1.87731,0.163116,-2.61959,0.50055,0.662376,0.109293,5.8968,0.691433,0.499534,0.223103,-2.11609,0.346572,-3.72666,0.241035
48,-3.50801,0.271065,1.92356,0.458129,2.74251,0.251759,1.8782,0.162782,-2.61878,0.501001,0.662296,0.109662,5.89642,0.690575,0.499354,0.223565,-2.11688,0.347645,-3.72662,0.241374
49,-3.5078,0.270672,1.92659,0.458566,2.74248,0.251663,1.87871,0.162783,-2.61791,0.501734,0.662239,0.11006,5.89527,0.69145,0.499085,0.22391,-2.11749,0.34876,-3.72662,0.241652
50,-3.50783,0.270242,1.92864,0.458587,2.74197,0.251371,1.87887,0.162923,-2.61655,0.50203,0.662146,0.110305,5.89518,0.692497,0.499017,0.22455,-2.11789,0.349986,-3.72655,0.2418
51,-3.50791,0.269878,1.93107,0.459063,2.74167,0.252129,1.87936,0.162984,-2.61542,0.502551,0.662096,0.110574,5.89576,0.692901,0.498727,0.225166,-2.11836,0.351677,-3.72655,0.241384
52,-3.50788,0.270076,1.93438,0.459776,2.74132,0.2526,1.87992,0.162949,-2.61456,0.502873,0.6621,0.110786,5.89516,0.693749,0.498537,0.225642,-2.119,0.352851,-3.72652,0.241673
53,-3.50779,0.270513,1.93966,0.4604,2.74106,0.253451,1.88015,0.163254,-2.61379,0.50341,0.662057,0.111041,5.8923,0.69495,0.4984,0.226038,-2.11949,0.354674,-3.72676,0.24202
54,-3.50817,0.271236,1.94186,0.461388,2.74128,0.254484,1.87988,0.163602,-2.6132,0.503773,0.662019,0.111308,5.89027,0.695888,0.49854,0.226597,-2.12049,0.356094,-3.72701,0.242013
55,-3.509,0.272411,1.94243,0.461971,2.74144,0.255013,1.87968,0.163527,-2.61253,0.504706,0.661991,0.111613,5.8903,0.695635,0.498612,0.226547,-2.12085,0.357824,-3.72753,0.241955
56,-3.50999,0.273574,1.94297,0.462625,2.7414,0.255482,1.87945,0.163437,-2.61164,0.505632,0.661955,0.111991,5.888,0.695595,0.498602,0.227157,-2.1206,0.358656,-3.7275,0.242443
57,-3.51062,0.274413,1.94291,0.462752,2.74125,0.25587,1.87918,0.163726,-2.61082,0.506711,0.661925,0.112355,5.88656,0.695783,0.498417,0.227684,-2.12069,0.359837,-3.72711,0.24301
