iteration,E_beta_exp,sd_beta_exp,E_delta0,sd_delta0,E_p,sd_p,E_td,sd_td,E_b_exp,sd_b_exp,E_h_0,sd_h_0,E_tc,sd_tc,E_sigma,sd_sigma,E_rho_exp,sd_rho_exp,E_alpha_exp,sd_alpha_exp
122,-3.53688,0.289635,1.87415,0.472305,2.74651,0.255553,1.90116,0.15991,-2.54733,0.515225,0.653253,0.118264,5.85346,0.690709,0.50129,0.237395,-2.14379,0.371388,-3.71725,0.244613
123,-3.53707,0.289647,1.87371,0.47227,2.74627,0.255543,1.90106,0.159894,-2.54705,0.515386,0.653236,0.118331,5.8545,0.690979,0.501406,0.237849,-2.14331,0.371649,-3.7172,0.244605
124,-3.53727,0.289659,1.87347,0.472186,2.74612,0.255446,1.9009,0.159894,-2.54674,0.515338,0.653207,0.118404,5.85492,0.691119,0.501602,0.238154,-2.14293,0.371849,-3.7173,0.244785
125,-3.53732,0.289645,1.87358,0.472094,2.74605,0.255257,1.90095,0.159788,-2.54688,0.515145,0.653223,0.118387,5.85546,0.691405,0.501709,0.238518,-2.14234,0.37207,-3.71765,0.244794
126,-3.53738,0.289783,1.87345,0.472196,2.74605,0.25524,1.90079,0.159653,-2.54711,0.514824,0.653234,0.118362,5.85706,0.691829,0.501762,0.23882,-2.14211,0.371974,-3.71792,0.244862
127,-3.53767,0.289778,1.87325,0.472354,2.74603,0.25513,1.90084,0.159488,-2.54723,0.514515,0.653258,0.118303,5.85896,0.692424,0.501795,0.239197,-2.14165,0.372104,-3.7178,0.244697
128,-3.53771,0.289885,1.87349,0.472364,2.74597,0.255142,1.90079,0.159278,-2.54745,0.514293,0.653283,0.118266,5.86086,0.692558,0.501774,0.239543,-2.14142,0.372345,-3.71775,0.24447
129,-3.5376,0.290093,1.87397,0.472435,2.74583,0.25514,1.90097,0.159038,-2.54761,0.514182,0.653316,0.11825,5.86268,0.692597,0.501701,0.239791,-2.14144,0.37249,-3.71793,0.244385
130,-3.53743,0.290153,1.87441,0.472651,2.74567,0.254999,1.90119,0.158922,-2.5478,0.514083,0.653371,0.118213,5.86417,0.692734,0.50166,0.239872,-2.14122,0.372509,-3.71813,0.244346
131,-3.53726,0.290228,1.87465,0.47258,2.74569,0.254838,1.90126,0.158855,-2.54779,0.513943,0.65338,0.11817,5.86524,0.692849,0.501747,0.239904,-2.14112,0.37255,-3.71824,0.244309
132,-3.53711,0.290104,1.87407,0.472502,2.74539,0.254801,1.9011,0.158792,-2.54767,0.513847,0.653401,0.118127,5.86609,0.693068,0.501786,0.240018,-2.14097,0.372458,-3.71824,0.244361
133,-3.53691,0.289876,1.87414,0.472461,2.74499,0.254645,1.90117,0.15876,-2.54756,0.513675,0.653416,0.118141,5.86665,0.69324,0.501859,0.240015,-2.14073,0.372387,-3.71858,0.244465
134,-3.53689,0.289778,1.87428,0.4725,2.74479,0.254368,1.9012,0.158825,-2.54765,0.513547,0.653422,0.118118,5.86729,0.693553,0.501884,0.240164,-2.14033,0.372337,-3.71892,0.244467
135,-3.53667,0.289705,1.87421,0.472646,2.74469,0.254222,1.90129,0.158885,-2.54778,0.513209,0.653428,0.118061,5.86793,0.69378,0.501978,0.240139,-2.13983,0.372146,-3.71898,0.244182
136,-3.53648,0.289577,1.87388,0.472655,2.74457,0.254045,1.9013,0.158801,-2.54793,0.512803,0.653451,0.117969,5.86829,0.693999,0.50194,0.240226,-2.13978,0.372316,-3.71901,0.244006
137,-3.53651,0.289555,1.87336,0.472851,2.74448,0.253894,1.90133,0.1588,-2.54815,0.512446,0.653508,0.117923,5.86918,0.694163,0.501772,0.240234,-2.13957,0.372115,-3.71877,0.243788
138,-3.5366,0.289588,1.87231,0.4731,2.74447,0.253598,1.90125,0.158914,-2.54841,0.512017,0.65358,0.117844,5.8698,0.694532,0.501637,0.24026,-2.13919,0.371968,-3.71852,0.243571
139,-3.5365,0.289538,1.87133,0.473393,2.74429,0.253344,1.90121,0.158905,-2.54867,0.511707,0.653647,0.11777,5.87073,0.695043,0.501622,0.240193,-2.13876,0.371706,-3.71832,0.243421
140,-3.53647,0.289526,1.87082,0.473634,2.74423,0.25321,1.90127,0.158856,-2.54896,0.511341,0.653701,0.117675,5.87086,0.695318,0.501644,0.240175,-2.13842,0.371681,-3.71833,0.243116
141,-3.53647,0.289582,1.87063,0.473847,2.74396,0.253213,1.90134,0.15885,-2.54914,0.511082,0.653773,0.117612,5.87068,0.695464,0.501778,0.240101,-2.13801,0.371478,-3.71833,0.242874
142,-3.53655,0.289468,1.86963,0.47405,2.74361,0.253065,1.90125,0.158787,-2.54945,0.510918,0.653852,0.117533,5.87118,0.6953,0.501863,0.240138,-2.13742,0.371066,-3.71854,0.242468
143,-3.53674,0.289451,1.86881,0.474156,2.74334,0.253061,1.9011,0.158818,-2.5495,0.510771,0.653898,0.117449,5.87101,0.695746,0.501917,0.240266,-2.13695,0.37076,-3.71846,0.242244
144,-3.53685,0.289449,1.86769,0.474311,2.74327,0.253055,1.90108,0.158744,-2.54959,0.510539,0.653909,0.117381,5.87101,0.695427,0.501951,0.240268,-2.13667,0.370358,-3.71862,0.242227
145,-3.53689,0.289716,1.86587,0.474567,2.74312,0.253023,1.90095,0.158759,-2.5497,0.510362,0.653913,0.117349,5.87083,0.695641,0.501879,0.240417,-2.13634,0.370123,-3.71891,0.242232
146,-3.53701,0.289829,1.86431,0.474787,2.74296,0.252926,1.90084,0.158616,-2.5497,0.510122,0.653919,0.117322,5.87008,0.695811,0.501762,0.240395,-2.13615,0.36984,-3.71931,0.242112
147,-3.53718,0.289918,1.86265,0.47496,2.74286,0.252913,1.90089,0.158593,-2.54975,0.509829,0.653916,0.117254,5.86944,0.695763,0.501711,0.240315,-2.13603,0.369638,-3.71958,0.241953
148,-3.53719,0.289864,1.8604,0.47492,2.7427,0.252987,1.9011,0.158459,-2.54953,0.509512,0.653898,0.117205,5.86922,0.695471,0.501651,0.240199,-2.13579,0.369244,-3.71988,0.241906
149,-3.53727,0.289912,1.85824,0.474829,2.74269,0.252924,1.90119,0.15836,-2.54922,0.509259,0.653855,0.117121,5.86952,0.695147,0.50165,0.240021,-2.1358,0.368979,-3.72003,0.241697
150,-3.53744,0.289944,1.85621,0.474651,2.74278,0.252782,1.90135,0.158281,-2.5488,0.508969,0.653801,0.117106,5.86994,0.695164,0.501653,0.239903,-2.13578,0.368656,-3.72005,0.241615
151,-3.53754,0.290013,1.85415,0.474437,2.7427,0.252667,1.9016,0.158266,-2.54845,0.50881,0.653753,0.117094,5.86982,0.695273,0.501803,0.239961,-2.13575,0.368568,-3.72009,0.241476
152,-3.53772,0.289968,1.85191,0.473977,2.74273,0.252563,1.90184,0.158243,-2.54797,0.508485,0.653672,0.117055,5.86942,0.694834,0.501865,0.239935,-2.13566,0.368494,-3.72005,0.241457
153,-3.53785,0.28989,1.84976,0.474011,2.74257,0.252459,1.90229,0.158223,-2.54732,0.508288,0.653594,0.117024,5.86953,0.694351,0.501925,0.239816,-2.13563,0.368449,-3.71989,0.241378
154,-3.53797,0.289791,1.84815,0.474024,2.74252,0.252325,1.90258,0.158159,-2.54667,0.508244,0.653518,0.11703,5.86962,0.693943,0.501938,0.239593,-2.13572,0.368439,-3.71993,0.24118
155,-3.53827,0.289668,1.84623,0.473922,2.74266,0.25216,1.90307,0.158199,-2.54599,0.508244,0.653438,0.117085,5.87033,0.693553,0.501945,0.23942,-2.1357,0.368582,-3.71988,0.241036
156,-3.53846,0.289457,1.84464,0.474113,2.74284,0.252083,1.9034,0.158337,-2.54577,0.508731,0.653441,0.117215,5.87152,0.693178,0.501936,0.239333,-2.1355,0.368953,-3.72,0.241092
157,-3.53864,0.289316,1.84309,0.474558,2.74294,0.252183,1.90362,0.158592,-2.54577,0.509112,0.653461,0.117317,5.87275,0.693082,0.501904,0.239367,-2.13525,0.369253,-3.72009,0.24109
