beta_exp_abscissa,beta_exp_pdf,beta_exp_cdf,delta0_abscissa,delta0_pdf,delta0_cdf,p_abscissa,p_pdf,p_cdf,td_abscissa,td_pdf,td_cdf,b_exp_abscissa,b_exp_pdf,b_exp_cdf,h_0_abscissa,h_0_pdf,h_0_cdf,tc_abscissa,tc_pdf,tc_cdf,sigma_abscissa,sigma_pdf,sigma_cdf,rho_exp_abscissa,rho_exp_pdf,rho_exp_cdf,q_exp_abscissa,q_exp_pdf,q_exp_cdf,ifn0_abscissa,ifn0_pdf,ifn0_cdf,split
-3.61998,0.614749,0.630237,10.9286,0.00506233,0.968067,3.06628,0.73024,0.590747,4.21754,0.0436846,0.963193,-2.3434,0.293191,0.492204,1.00709,0.193223,0.980343,7.11363,0.0978969,0.584442,1.16138,0.145731,0.945015,-1.54789,0.557485,0.645653,-4.2323,4.41724,0.929354,0.943951,0.190816,0.958131,All
-3.58891,0.603719,0.64917,11.1219,0.00485072,0.969024,3.09669,0.71955,0.612796,4.28342,0.040343,0.96596,-2.28962,0.293188,0.507975,1.02096,0.169629,0.982856,7.21959,0.0980036,0.594822,1.18065,0.137684,0.947745,-1.51484,0.546596,0.663898,-4.22537,3.08642,0.95518,0.959012,0.177653,0.960904,All
-3.55784,0.591372,0.66774,11.3151,0.00465054,0.969942,3.1271,0.706705,0.634488,4.3493,0.0372565,0.968515,-2.23584,0.292728,0.523733,1.03483,0.148724,0.985062,7.32555,0.0981045,0.605212,1.19992,0.130123,0.950325,-1.4818,0.534608,0.681765,-4.21845,2.04888,0.972798,0.974073,0.165418,0.963487,All
-3.52677,0.577795,0.685908,11.5084,0.00446103,0.970823,3.15751,0.691827,0.655757,4.41518,0.0344063,0.970874,-2.18206,0.291812,0.539454,1.04871,0.130237,0.986994,7.43152,0.0981991,0.615612,1.21919,0.123014,0.952763,-1.44876,0.521602,0.699218,-4.21152,1.29222,0.984219,0.989134,0.154046,0.965891,All
-3.4957,0.563087,0.703635,11.7016,0.0042815,0.971667,3.18792,0.675053,0.676545,4.48106,0.0317748,0.973053,-2.12827,0.290444,0.555113,1.06258,0.113916,0.988685,7.53748,0.0982868,0.626022,1.23846,0.116329,0.955068,-1.41571,0.507667,0.716227,-4.20459,0.774307,0.991255,1.0042,0.143477,0.968131,All
-3.46462,0.54735,0.720889,11.8949,0.0041113,0.972478,3.21833,0.656538,0.696796,4.54695,0.0293457,0.975065,-2.07449,0.288632,0.570687,1.07645,0.0995339,0.990164,7.64344,0.0983667,0.636441,1.25773,0.110042,0.957249,-1.38267,0.492894,0.73276,-4.19766,0.440806,0.995373,1.01926,0.133653,0.970217,All
-3.43355,0.530692,0.73764,12.0881,0.00394983,0.973257,3.24874,0.636449,0.71646,4.61283,0.0271037,0.976924,-2.02071,0.286382,0.586152,1.09032,0.0868788,0.991455,7.7494,0.0984379,0.646869,1.277,0.104126,0.959312,-1.34962,0.477379,0.748793,-4.19074,0.238419,0.997664,1.03432,0.124521,0.97216,All
-3.40248,0.513225,0.75386,12.2814,0.00379654,0.974005,3.27915,0.614963,0.735491,4.67871,0.0250347,0.97864,-1.96693,0.283707,0.601484,1.1042,0.0757602,0.992581,7.85537,0.0984994,0.657303,1.29627,0.0985576,0.961264,-1.31658,0.46122,0.764302,-4.18381,0.122515,0.998875,1.04938,0.116033,0.973971,All
-3.37141,0.495064,0.769526,12.4746,0.00365092,0.974725,3.30956,0.592265,0.753849,4.74459,0.0231254,0.980226,-1.91315,0.280618,0.616661,1.11807,0.0660052,0.993563,7.96133,0.0985502,0.667743,1.31554,0.0933156,0.963112,-1.28353,0.444517,0.779269,-4.17688,0.0598134,0.999484,1.06444,0.108143,0.975658,All
-3.34034,0.476325,0.784619,12.6679,0.00351249,0.975417,3.33997,0.568545,0.771502,4.81047,0.0213637,0.981691,-1.85936,0.277128,0.631662,1.13194,0.0574576,0.994418,8.06729,0.0985888,0.678188,1.3348,0.088379,0.964862,-1.25049,0.42737,0.793675,-4.16995,0.0277437,0.999774,1.0795,0.100808,0.977231,All
