beta_exp_abscissa,beta_exp_pdf,beta_exp_cdf,delta0_abscissa,delta0_pdf,delta0_cdf,p_abscissa,p_pdf,p_cdf,td_abscissa,td_pdf,td_cdf,b_exp_abscissa,b_exp_pdf,b_exp_cdf,h_0_abscissa,h_0_pdf,h_0_cdf,tc_abscissa,tc_pdf,tc_cdf,sigma_abscissa,sigma_pdf,sigma_cdf,rho_exp_abscissa,rho_exp_pdf,rho_exp_cdf,q_exp_abscissa,q_exp_pdf,q_exp_cdf,ifn0_abscissa,ifn0_pdf,ifn0_cdf,split
-5.01822,0.0980838,0.0259138,2.23232,0.113387,0.73457,1.69784,0.0482659,0.00958496,1.25286,0.447073,0.161501,-4.76361,0.0581859,0.0360457,0.382808,0.720462,0.0297784,2.34529,0.0849903,0.138124,0.294258,1.82894,0.311734,-3.03488,0.10708,0.0318315,-4.54405,4.27269e-16,2.22045e-16,0.266201,2.15634,0.206052,All
-4.98715,0.108087,0.029115,2.42557,0.100038,0.755154,1.72825,0.0550888,0.0111546,1.31874,0.47366,0.191864,-4.70982,0.0624248,0.0392882,0.396681,0.904417,0.0410282,2.45126,0.0858241,0.147175,0.313527,1.79147,0.346638,-3.00184,0.117235,0.0355359,-4.53712,2.99163e-15,2.22045e-16,0.281262,2.22144,0.239055,All
-4.95607,0.118806,0.0326381,2.61882,0.0887882,0.77337,1.75866,0.0626712,0.0129431,1.38462,0.494071,0.223776,-4.65604,0.066868,0.0427641,0.410554,1.10419,0.0549454,2.55722,0.0865881,0.15631,0.332796,1.74206,0.380699,-2.9688,0.128038,0.0395865,-4.53019,1.99009e-14,2.22045e-16,0.296324,2.25918,0.272829,All
-4.925,0.130254,0.0365056,2.81207,0.0792269,0.78958,1.78907,0.0710646,0.0149745,1.4505,0.508425,0.256832,-4.60226,0.0715156,0.0464845,0.424427,1.31439,0.0717131,2.66318,0.0872896,0.165523,0.352066,1.68392,0.413719,-2.93575,0.139495,0.044005,-4.52326,1.25775e-13,4.44089e-16,0.311385,2.27227,0.306982,All
-4.89393,0.142441,0.0407403,3.00533,0.0710387,0.804079,1.81948,0.0803195,0.017274,1.51639,0.517038,0.290642,-4.54848,0.0763668,0.0504603,0.4383,1.52887,0.0914339,2.76914,0.0879353,0.174807,0.371335,1.61967,0.445556,-2.90271,0.151604,0.0488128,-4.51634,7.55224e-13,2.88658e-15,0.326446,2.26372,0.341166,All
-4.86286,0.155369,0.0453651,3.19858,0.0639783,0.817109,1.84989,0.0904837,0.0198687,1.58227,0.520359,0.324842,-4.4947,0.0814197,0.0547025,0.452173,1.74119,0.114123,2.87511,0.0885308,0.184157,0.390605,1.55148,0.476114,-2.86966,0.164361,0.0540314,-4.50941,4.30838e-12,1.70974e-14,0.341507,2.23661,0.375077,All
-4.83179,0.169036,0.0504031,3.39183,0.0578521,0.828867,1.8803,0.101602,0.0227869,1.64815,0.518928,0.359102,-4.44091,0.0866714,0.0592217,0.466045,1.94498,0.139705,2.98107,0.0890814,0.193567,0.409874,1.48107,0.505334,-2.83662,0.177755,0.0596822,-4.50248,2.33512e-11,9.54792e-14,0.356568,2.19395,0.40846,All
-4.80071,0.183436,0.0558772,3.58508,0.0525061,0.839519,1.91071,0.113714,0.0260582,1.71403,0.513326,0.393126,-4.38713,0.0921177,0.0640287,0.479918,2.13435,0.168021,3.08703,0.0895915,0.203034,0.429143,1.40979,0.533187,-2.80357,0.19177,0.0657859,-4.49555,1.20244e-10,5.06706e-13,0.371629,2.1386,0.4411,All
-4.76964,0.198554,0.06181,3.77833,0.0478166,0.849203,1.94112,0.126855,0.0297134,1.77991,0.504149,0.426661,-4.33335,0.0977534,0.0691337,0.493791,2.30416,0.198833,3.193,0.0900652,0.212553,0.448413,1.33873,0.559667,-2.77053,0.206383,0.0723626,-4.48863,5.88266e-10,2.55729e-12,0.38669,2.07318,0.472829,All
-4.73857,0.214368,0.0682233,3.97158,0.0436831,0.858036,1.97153,0.141053,0.0337842,1.84579,0.491983,0.459489,-4.27957,0.103572,0.0745468,0.507664,2.45027,0.231842,3.29896,0.0905061,0.22212,0.467682,1.26869,0.584786,-2.73749,0.221566,0.0794317,-4.4817,2.73428e-09,1.22733e-11,0.401751,2.00002,0.50351,All
-4.7075,0.23085,0.0751385,4.16483,0.0400235,0.866117,2.00194,0.156329,0.0383031,1.91168,0.477382,0.491433,-4.22578,0.109565,0.0802775,0.521537,2.56965,0.266694,3.40492,0.0909174,0.231732,0.486952,1.20029,0.608571,-2.70444,0.237284,0.0870115,-4.47477,1.20745e-08,5.60196e-11,0.416812,1.92121,0.533045,All
-4.67643,0.247963,0.0825758,4.35809,0.0367701,0.873531,2.03235,0.172695,0.0433031,1.97756,0.46086,0.522348,-4.172,0.115724,0.0863351,0.53541,2.66038,0.303006,3.51089,0.0913019,0.241387,0.506221,1.13398,0.631057,-2.6714,0.253494,0.095119,-4.46784,5.06586e-08,2.4319e-10,0.431873,1.83854,0.561362,All
-4.64536,0.265663,0.090554,4.55134,0.0338668,0.880352,2.06276,0.190151,0.0488174,2.04344,0.442884,0.552125,-4.11822,0.122039,0.0927282,0.549283,2.7217,0.340372,3.61685,0.0916622,0.251081,0.52549,1.07008,0.652289,-2.63835,0.270149,0.10377,-4.46092,2.01927e-07,1.00417e-09,0.446935,1.75356,0.588415,All
-4.61428,0.2839,0.0990906,4.74459,0.0312667,0.886641,2.09317,0.20869,0.054879,2.10932,0.42387,0.580682,-4.06444,0.128497,0.0994648,0.563155,2.75383,0.378386,3.72281,0.0920007,0.260812,0.54476,1.0088,0.672314,-2.60531,0.287192,0.112977,-4.45399,7.64706e-07,3.94425e-09,0.461996,1.66755,0.614178,All
-4.58321,0.302612,0.108201,4.93784,0.0289303,0.892453,2.12358,0.228289,0.0615206,2.1752,0.404182,0.607961,-4.01065,0.135086,0.106552,0.577028,2.75791,0.41665,3.82877,0.0923194,0.270577,0.564029,0.950269,0.691184,-2.57226,0.304564,0.122753,-4.44706,2.75139e-06,1.47384e-08,0.477057,1.5816,0.638645,All
-4.55214,0.321733,0.1179,5.13109,0.0268244,0.897837,2.15399,0.248915,0.0687739,2.24108,0.384133,0.63393,-3.95687,0.141791,0.113997,0.590901,2.73578,0.454785,3.93474,0.0926202,0.280376,0.583298,0.894554,0.708954,-2.53922,0.322195,0.133108,-4.44013,9.40517e-06,5.23966e-08,0.492118,1.49658,0.661824,All
-4.52107,0.341187,0.128199,5.32434,0.0249207,0.902834,2.1844,0.270519,0.0766695,2.30697,0.36399,0.658574,-3.90309,0.148596,0.121806,0.604774,2.68983,0.492445,4.0407,0.0929048,0.290205,0.602568,0.841664,0.725677,-2.50618,0.340012,0.144049,-4.4332,3.0545e-05,1.77244e-07,0.507179,1.41318,0.683734,All
-4.49,0.360893,0.139106,5.51759,0.0231951,0.90748,2.21481,0.29304,0.0852361,2.37285,0.343976,0.681894,-3.84931,0.155484,0.129982,0.618647,2.62288,0.529319,4.14666,0.0931747,0.300064,0.621837,0.791574,0.741409,-2.47313,0.357937,0.15558,-4.42628,9.42475e-05,5.70561e-07,0.52224,1.33197,0.704403,All
-4.45892,0.38076,0.150628,5.71084,0.0216267,0.911809,2.24522,0.3164,0.0945006,2.43873,0.324272,0.703904,-3.79553,0.162438,0.138531,0.63252,2.53794,0.565136,4.25263,0.0934314,0.309951,0.641107,0.744229,0.756201,-2.44009,0.375883,0.167705,-4.41935,0.000276285,1.74805e-06,0.537301,1.25336,0.723869,All
-4.42785,0.400694,0.162768,5.9041,0.0201979,0.915848,2.27563,0.340509,0.104487,2.50461,0.305026,0.724631,-3.74174,0.169438,0.147456,0.646393,2.43813,0.599668,4.35859,0.0936759,0.319864,0.660376,0.69955,0.770107,-2.40704,0.393762,0.180421,-4.41242,0.000769491,5.09781e-06,0.552362,1.17767,0.742172,All
-4.39678,0.420593,0.175528,6.09735,0.0188932,0.919624,2.30604,0.36526,0.115217,2.57049,0.286352,0.744108,-3.68796,0.176463,0.156757,0.660265,2.32654,0.632729,4.46455,0.0939095,0.329803,0.679645,0.657447,0.783178,-2.374,0.411482,0.193726,-4.40549,0.00203614,1.41535e-05,0.567423,1.10511,0.759358,All
-4.36571,0.440352,0.188904,6.2906,0.0176992,0.923158,2.33644,0.390532,0.126707,2.63638,0.268338,0.762376,-3.63418,0.183492,0.166437,0.674138,2.20612,0.664178,4.57051,0.0941332,0.339766,0.698915,0.617815,0.79546,-2.34095,0.428947,0.207613,-4.39857,0.00511881,3.7417e-05,0.582485,1.03582,0.775477,All
-4.33464,0.459859,0.20289,6.48385,0.0166042,0.926471,2.36685,0.416192,0.138973,2.70226,0.251049,0.779481,-3.5804,0.190504,0.176494,0.688011,2.07965,0.693912,4.67648,0.0943479,0.349752,0.718184,0.580546,0.807003,-2.30791,0.446057,0.222071,-4.39164,0.0122261,9.42079e-05,0.597546,0.969886,0.790576,All
-4.30356,0.479003,0.217477,6.6771,0.0155981,0.929581,2.39726,0.442091,0.152022,2.76814,0.234529,0.795472,-3.52661,0.197475,0.186928,0.701884,1.94964,0.721863,4.78244,0.0945545,0.35976,0.737454,0.545526,0.817848,-2.27486,0.462715,0.237087,-4.38471,0.0277437,0.000225952,0.612607,0.907321,0.804709,All
-4.27249,0.497668,0.232652,6.87035,0.0146719,0.932505,2.42767,0.468071,0.165861,2.83402,0.218805,0.810401,-3.47283,0.204381,0.197735,0.715757,1.81834,0.748,4.8884,0.0947536,0.36979,0.756723,0.512641,0.82804,-2.24182,0.478819,0.252645,-4.37778,0.0598134,0.000516377,0.627668,0.848111,0.817924,All
-4.24142,0.515738,0.248398,7.0636,0.0138176,0.935256,2.45808,0.493962,0.18049,2.8999,0.20389,0.824321,-3.41905,0.211198,0.20891,0.72963,1.68766,0.772317,4.99437,0.094946,0.379841,0.775992,0.481777,0.837618,-2.20878,0.494271,0.268724,-4.37086,0.122515,0.00112477,0.642729,0.792203,0.830272,All
-4.21035,0.533097,0.264695,7.25686,0.0130285,0.937849,2.48849,0.519585,0.195901,2.96578,0.189785,0.837284,-3.36527,0.217902,0.22045,0.743503,1.55927,0.794836,5.10033,0.0951322,0.389912,0.795262,0.452822,0.84662,-2.17573,0.508971,0.285302,-4.36393,0.238419,0.00233589,0.65779,0.739519,0.841803,All
-4.17928,0.549631,0.281518,7.45011,0.0122983,0.940296,2.5189,0.544755,0.212086,3.03167,0.176483,0.849345,-3.31148,0.224468,0.232346,0.757376,1.43449,0.815597,5.20629,0.0953128,0.400002,0.814531,0.425667,0.855081,-2.14269,0.522826,0.302352,-4.357,0.440806,0.00462696,0.672851,0.689963,0.852564,All
-4.14821,0.56523,0.298841,7.64336,0.0116216,0.942606,2.54931,0.569282,0.229027,3.09755,0.163968,0.860555,-3.2577,0.23087,0.244592,0.771248,1.31441,0.834659,5.31226,0.0954883,0.410111,0.833801,0.400206,0.863035,-2.10964,0.535742,0.319845,-4.35007,0.774307,0.00874548,0.687912,0.643422,0.862601,All
