beta_exp_abscissa,beta_exp_cdf,delta0_abscissa,delta0_cdf,p_abscissa,p_cdf,td_abscissa,td_cdf,b_exp_abscissa,b_exp_cdf,h_0_abscissa,h_0_cdf,tc_abscissa,tc_cdf,sigma_abscissa,sigma_cdf,rho_exp_abscissa,rho_exp_cdf,q_exp_abscissa,q_exp_cdf,ifn0_abscissa,ifn0_cdf,split
-4.30951,0.216667,0.299587,0.216667,2.58392,0.225,1.48389,0.216667,-3.53358,0.225,0.496069,0.216667,3.27928,0.216667,0.26979,0.225,-2.31766,0.216667,-4.30306,0.216667,0.245666,0.216667,All
-4.30218,0.225,0.308935,0.225,2.5912,0.233333,1.53516,0.225,-3.3248,0.233333,0.496707,0.225,3.3538,0.225,0.273697,0.233333,-2.30756,0.225,-4.30224,0.225,0.254449,0.225,All
-4.28207,0.233333,0.330702,0.233333,2.5948,0.241667,1.5411,0.233333,-3.29048,0.241667,0.496784,0.233333,3.38082,0.233333,0.280188,0.241667,-2.30286,0.233333,-4.30178,0.233333,0.259531,0.233333,All
-4.2787,0.241667,0.348698,0.241667,2.60677,0.25,1.57497,0.241667,-3.27611,0.25,0.499852,0.241667,3.44422,0.241667,0.28165,0.25,-2.29594,0.241667,-4.30105,0.241667,0.261265,0.241667,All
-4.27424,0.25,0.358802,0.25,2.60697,0.258333,1.57738,0.25,-3.22138,0.258333,0.502205,0.25,3.45756,0.25,0.296041,0.258333,-2.28833,0.25,-4.29815,0.25,0.265206,0.25,All
-4.26303,0.258333,0.37586,0.258333,2.61064,0.266667,1.58605,0.258333,-3.20724,0.266667,0.504139,0.258333,3.52955,0.258333,0.296411,0.266667,-2.27603,0.258333,-4.29785,0.258333,0.265457,0.258333,All
-4.23554,0.266667,0.376896,0.266667,2.61131,0.275,1.58891,0.266667,-3.18819,0.275,0.504929,0.266667,3.582,0.266667,0.307727,0.275,-2.27442,0.266667,-4.29759,0.266667,0.265828,0.266667,All
-4.21365,0.275,0.399842,0.275,2.62771,0.283333,1.61145,0.275,-3.15488,0.283333,0.51139,0.275,3.73889,0.275,0.312318,0.283333,-2.26658,0.275,-4.29719,0.275,0.266727,0.275,All
-4.20446,0.283333,0.409381,0.283333,2.67891,0.291667,1.61622,0.283333,-3.1251,0.291667,0.511667,0.283333,3.73938,0.283333,0.316534,0.291667,-2.21458,0.283333,-4.29682,0.283333,0.268748,0.283333,All
-4.18002,0.291667,0.41555,0.291667,2.69681,0.3,1.64665,0.291667,-3.07375,0.3,0.513345,0.291667,3.74458,0.291667,0.317566,0.3,-2.21305,0.291667,-4.29637,0.291667,0.270994,0.291667,All
-4.16162,0.3,0.476653,0.3,2.70929,0.308333,1.64804,0.3,-3.02365,0.308333,0.518367,0.3,3.77426,0.3,0.321683,0.308333,-2.18881,0.3,-4.29607,0.3,0.273827,0.3,All
-4.15979,0.308333,0.481677,0.308333,2.74554,0.316667,1.65729,0.308333,-3.00608,0.316667,0.520377,0.308333,3.84798,0.308333,0.322947,0.316667,-2.18694,0.308333,-4.29477,0.308333,0.274634,0.308333,All
-4.14314,0.316667,0.492074,0.316667,2.75034,0.325,1.66886,0.316667,-2.97992,0.325,0.523874,0.316667,3.89132,0.316667,0.324924,0.325,-2.18451,0.316667,-4.29464,0.316667,0.275579,0.316667,All
-4.12323,0.325,0.495264,0.325,2.76917,0.333333,1.67446,0.325,-2.87948,0.333333,0.524914,0.325,3.89814,0.325,0.332019,0.333333,-2.18097,0.325,-4.29392,0.325,0.28047,0.325,All
-4.09844,0.333333,0.496325,0.333333,2.77132,0.341667,1.67766,0.333333,-2.80877,0.341667,0.52813,0.333333,3.90876,0.333333,0.33287,0.341667,-2.17925,0.333333,-4.29316,0.333333,0.284015,0.333333,All
-4.08795,0.341667,0.510845,0.341667,2.77285,0.35,1.68053,0.341667,-2.70202,0.35,0.528658,0.341667,3.98025,0.341667,0.338141,0.35,-2.17834,0.341667,-4.29297,0.341667,0.289595,0.341667,All
-4.07815,0.35,0.520843,0.35,2.79175,0.358333,1.6905,0.35,-2.59451,0.358333,0.530008,0.35,4.02461,0.35,0.339831,0.358333,-2.17239,0.35,-4.29274,0.35,0.295961,0.35,All
-4.05473,0.358333,0.535209,0.358333,2.79743,0.366667,1.69406,0.358333,-2.51742,0.366667,0.537103,0.358333,4.03266,0.358333,0.347874,0.366667,-2.14242,0.358333,-4.29271,0.358333,0.29691,0.358333,All
-4.047,0.366667,0.592275,0.366667,2.80807,0.375,1.6962,0.366667,-2.47395,0.375,0.537218,0.366667,4.04077,0.366667,0.353721,0.375,-2.13166,0.366667,-4.29211,0.366667,0.297719,0.366667,All
-4.01921,0.375,0.603787,0.375,2.88796,0.383333,1.70935,0.375,-2.4164,0.383333,0.542044,0.375,4.1609,0.375,0.355117,0.383333,-2.11965,0.375,-4.29096,0.375,0.310143,0.375,All
-3.98799,0.383333,0.618292,0.383333,2.89166,0.391667,1.71737,0.383333,-2.29783,0.391667,0.543308,0.383333,4.16584,0.383333,0.363282,0.391667,-2.11111,0.383333,-4.29095,0.383333,0.312038,0.383333,All
-3.95558,0.391667,0.630374,0.391667,2.91181,0.4,1.72242,0.391667,-2.28732,0.4,0.551063,0.391667,4.26547,0.391667,0.365761,0.4,-2.07323,0.391667,-4.29018,0.391667,0.315338,0.391667,All
-3.94527,0.4,0.636522,0.4,2.92311,0.408333,1.73861,0.4,-2.28156,0.408333,0.554186,0.4,4.35585,0.4,0.365908,0.408333,-2.07182,0.4,-4.28877,0.4,0.319591,0.4,All
-3.93427,0.408333,0.649843,0.408333,2.92488,0.416667,1.75709,0.408333,-2.27472,0.416667,0.558145,0.408333,4.35779,0.408333,0.391684,0.416667,-2.06355,0.408333,-4.28785,0.408333,0.321546,0.408333,All
-3.92185,0.416667,0.751345,0.416667,2.9427,0.425,1.75878,0.416667,-2.16243,0.425,0.560837,0.416667,4.42481,0.416667,0.392137,0.425,-2.05429,0.416667,-4.28729,0.416667,0.323361,0.416667,All
-3.86627,0.425,0.756111,0.425,2.94991,0.433333,1.76618,0.425,-2.14941,0.433333,0.563887,0.425,4.65076,0.425,0.393868,0.433333,-2.05358,0.425,-4.28693,0.425,0.329358,0.425,All
-3.84423,0.433333,0.766759,0.433333,2.97423,0.441667,1.77024,0.433333,-2.08621,0.441667,0.564532,0.433333,4.72128,0.433333,0.395216,0.441667,-2.05203,0.433333,-4.28647,0.433333,0.330826,0.433333,All
-3.83003,0.441667,0.80143,0.441667,2.98158,0.45,1.77494,0.441667,-2.02845,0.45,0.567434,0.441667,4.73025,0.441667,0.396614,0.45,-1.98731,0.441667,-4.28599,0.441667,0.331466,0.441667,All
-3.82733,0.45,0.91381,0.45,2.98367,0.458333,1.77705,0.45,-1.99316,0.458333,0.571822,0.45,4.7453,0.45,0.399287,0.458333,-1.98252,0.45,-4.28481,0.45,0.335223,0.45,All
-3.80707,0.458333,0.916818,0.458333,2.98589,0.466667,1.77735,0.458333,-1.9586,0.466667,0.573269,0.458333,4.75915,0.458333,0.404024,0.466667,-1.92875,0.458333,-4.28459,0.458333,0.337359,0.458333,All
-3.78937,0.466667,0.930224,0.466667,2.99183,0.475,1.77978,0.466667,-1.93274,0.475,0.575283,0.466667,4.79306,0.466667,0.407709,0.475,-1.92285,0.466667,-4.2845,0.466667,0.343578,0.466667,All
-3.78521,0.475,0.965277,0.475,2.99218,0.483333,1.78784,0.475,-1.92901,0.483333,0.576807,0.475,4.81288,0.475,0.412888,0.483333,-1.91657,0.475,-4.28401,0.475,0.344414,0.475,All
-3.77308,0.483333,0.980803,0.483333,2.99437,0.491667,1.79793,0.483333,-1.86165,0.491667,0.580298,0.483333,4.85736,0.483333,0.414247,0.491667,-1.91078,0.483333,-4.28338,0.483333,0.350818,0.483333,All
-3.76189,0.491667,0.981186,0.491667,3.00988,0.5,1.80579,0.491667,-1.83944,0.5,0.580568,0.491667,4.89731,0.491667,0.415124,0.5,-1.90658,0.491667,-4.28335,0.491667,0.353154,0.491667,All
-3.76109,0.5,0.990494,0.5,3.02569,0.508333,1.80622,0.5,-1.80734,0.508333,0.580968,0.5,4.99891,0.5,0.421445,0.508333,-1.89714,0.5,-4.28256,0.5,0.367137,0.5,All
-3.74824,0.508333,1.00133,0.508333,3.02851,0.516667,1.81464,0.508333,-1.79224,0.516667,0.58434,0.508333,5.17252,0.508333,0.43602,0.516667,-1.88041,0.508333,-4.2816,0.508333,0.367296,0.508333,All
-3.7413,0.516667,1.03251,0.516667,3.03155,0.525,1.82287,0.516667,-1.79161,0.525,0.590455,0.516667,5.19323,0.516667,0.44778,0.525,-1.87572,0.516667,-4.2807,0.516667,0.383136,0.516667,All
-3.74082,0.525,1.03387,0.525,3.03706,0.533333,1.83184,0.525,-1.78579,0.533333,0.590458,0.525,5.29183,0.525,0.455311,0.533333,-1.8585,0.525,-4.27913,0.525,0.385125,0.525,All
-3.72354,0.533333,1.03771,0.533333,3.06618,0.541667,1.83841,0.533333,-1.78355,0.541667,0.602414,0.533333,5.37103,0.533333,0.470761,0.541667,-1.83911,0.533333,-4.2785,0.533333,0.385266,0.533333,All
-3.7163,0.541667,1.05202,0.541667,3.07743,0.55,1.84828,0.541667,-1.77912,0.55,0.606556,0.541667,5.46609,0.541667,0.474253,0.55,-1.82532,0.541667,-4.27795,0.541667,0.392482,0.541667,All
-3.70809,0.55,1.0656,0.55,3.08262,0.558333,1.87918,0.55,-1.76293,0.558333,0.607016,0.55,5.4768,0.55,0.477055,0.558333,-1.81703,0.55,-4.27793,0.55,0.394729,0.55,All
-3.69057,0.558333,1.06607,0.558333,3.10429,0.566667,1.883,0.558333,-1.7521,0.566667,0.607641,0.558333,5.56692,0.558333,0.50247,0.566667,-1.80642,0.558333,-4.27757,0.558333,0.403529,0.558333,All
-3.68705,0.566667,1.14148,0.566667,3.11646,0.575,1.88659,0.566667,-1.7511,0.575,0.632162,0.566667,5.56973,0.566667,0.505301,0.575,-1.80319,0.566667,-4.2771,0.566667,0.406353,0.566667,All
-3.67864,0.575,1.18031,0.575,3.12323,0.583333,1.91408,0.575,-1.71589,0.583333,0.636266,0.575,5.65861,0.575,0.508653,0.583333,-1.78794,0.575,-4.277,0.575,0.408511,0.575,All
-3.67791,0.583333,1.21732,0.583333,3.12609,0.591667,2.00417,0.583333,-1.71289,0.591667,0.636615,0.583333,5.75258,0.583333,0.50872,0.591667,-1.78727,0.583333,-4.27618,0.583333,0.425952,0.583333,All
-3.67584,0.591667,1.23732,0.591667,3.14505,0.6,2.09005,0.591667,-1.70391,0.6,0.636722,0.591667,6.15382,0.591667,0.513388,0.6,-1.78623,0.591667,-4.27505,0.591667,0.460652,0.591667,All
-3.67023,0.6,1.26403,0.6,3.15458,0.608333,2.22259,0.6,-1.69576,0.608333,0.636782,0.6,6.18129,0.6,0.513706,0.608333,-1.77172,0.6,-4.27444,0.6,0.473612,0.6,All
-3.65576,0.608333,1.32511,0.608333,3.15823,0.616667,2.26765,0.608333,-1.66842,0.616667,0.639368,0.608333,6.19603,0.608333,0.521754,0.616667,-1.75775,0.608333,-4.27303,0.608333,0.477452,0.608333,All
-3.64393,0.616667,1.32786,0.616667,3.16058,0.625,2.27478,0.616667,-1.65357,0.625,0.644323,0.616667,6.35571,0.616667,0.5285,0.625,-1.7568,0.616667,-4.27226,0.616667,0.486432,0.616667,All
-3.62793,0.625,1.40396,0.625,3.16339,0.633333,2.31399,0.625,-1.5953,0.633333,0.654782,0.625,6.43839,0.625,0.530397,0.633333,-1.74863,0.625,-4.27133,0.625,0.487671,0.625,All
-3.58492,0.633333,1.46469,0.633333,3.17388,0.641667,2.36772,0.633333,-1.57876,0.641667,0.660179,0.633333,6.60144,0.633333,0.534237,0.641667,-1.72429,0.633333,-4.27097,0.633333,0.499637,0.633333,All
-3.5741,0.641667,1.7424,0.641667,3.17621,0.65,2.36853,0.641667,-1.56354,0.65,0.66023,0.641667,6.66617,0.641667,0.53876,0.65,-1.66304,0.641667,-4.27092,0.641667,0.500496,0.641667,All
-3.56959,0.65,1.8407,0.65,3.18342,0.658333,2.37729,0.65,-1.54968,0.658333,0.670456,0.65,6.75246,0.65,0.542144,0.658333,-1.65881,0.65,-4.27086,0.65,0.506836,0.65,All
-3.56833,0.658333,1.85416,0.658333,3.1854,0.666667,2.39276,0.658333,-1.53345,0.666667,0.674962,0.658333,6.85513,0.658333,0.543304,0.666667,-1.62432,0.658333,-4.2694,0.658333,0.507774,0.658333,All
-3.56318,0.666667,1.87258,0.666667,3.19745,0.675,2.40617,0.666667,-1.52986,0.675,0.685121,0.666667,6.88289,0.666667,0.545924,0.675,-1.6055,0.666667,-4.26913,0.666667,0.509218,0.666667,All
-3.5358,0.675,1.90807,0.675,3.21805,0.683333,2.40643,0.675,-1.51908,0.683333,0.689762,0.675,6.94686,0.675,0.547708,0.683333,-1.6034,0.675,-4.26848,0.675,0.516396,0.675,All
