beta_exp_abscissa,beta_exp_cdf,delta0_abscissa,delta0_cdf,p_abscissa,p_cdf,td_abscissa,td_cdf,b_exp_abscissa,b_exp_cdf,h_0_abscissa,h_0_cdf,tc_abscissa,tc_cdf,sigma_abscissa,sigma_cdf,rho_exp_abscissa,rho_exp_cdf,q_exp_abscissa,q_exp_cdf,ifn0_abscissa,ifn0_cdf,split
-2.6259,0.933333,7.73259,0.933333,3.60599,0.941667,3.84996,0.933333,-0.840866,0.941667,0.880203,0.933333,11.3701,0.933333,1.09915,0.941667,-0.623917,0.933333,-4.23067,0.933333,0.815625,0.933333,All
-2.60633,0.941667,8.11337,0.941667,3.63371,0.95,3.98019,0.941667,-0.812462,0.95,0.883992,0.941667,11.3996,0.941667,1.23066,0.95,-0.605261,0.941667,-4.22837,0.941667,0.824917,0.941667,All
-2.54421,0.95,8.39882,0.95,3.63687,0.958333,3.99696,0.95,-0.781357,0.958333,0.886078,0.95,11.4199,0.95,1.38866,0.958333,-0.603897,0.95,-4.22783,0.95,0.828318,0.95,All
-2.47418,0.958333,10.4701,0.958333,3.65328,0.966667,4.02829,0.958333,-0.745489,0.966667,0.887141,0.958333,11.4309,0.958333,1.53052,0.966667,-0.527672,0.958333,-4.22775,0.958333,0.841262,0.958333,All
-2.41112,0.966667,11.4752,0.966667,3.66575,0.975,4.0307,0.966667,-0.636428,0.975,0.896118,0.966667,11.4816,0.966667,1.6089,0.975,-0.517609,0.966667,-4.22739,0.966667,0.844162,0.966667,All
-2.40267,0.975,13.6509,0.975,3.69754,0.983333,4.06016,0.975,-0.624162,0.983333,0.903319,0.975,11.5162,0.975,1.62633,0.983333,-0.451096,0.975,-4.22662,0.975,0.848996,0.975,All
-2.33643,0.983333,15.9298,0.983333,3.77019,0.991667,4.22355,0.983333,-0.600895,0.991667,0.904115,0.983333,11.5548,0.983333,1.76648,0.991667,-0.434256,0.983333,-4.22404,0.983333,0.959545,0.983333,All
-2.33328,0.991667,16.36,0.991667,3.78292,1,4.25096,0.991667,-0.562796,1,0.936474,0.991667,11.5736,0.991667,1.86127,1,-0.315414,0.991667,-4.21356,0.991667,1.07855,0.991667,All
-2.28389,1,19.2384,1,4.37391,1,4.29077,1,-0.0307651,1,0.970473,1,11.67,1,1.98996,1,-0.126981,1,-4.21045,1,1.14138,1,All
-2.28389,1,19.2384,1,4.37391,1,7.05045,1,-0.0307651,1,1.60362,1,11.67,1,1.98996,1,-0.126981,1,-3.93441,1,1.59158,1,All
