ID,eta_beta_exp_mean,eta_beta_exp_mode,eta_delta0_mean,eta_delta0_mode,eta_p_mean,eta_p_mode,eta_td_mean,eta_td_mode,eta_b_exp_mean,eta_b_exp_mode,eta_h_0_mean,eta_h_0_mode,eta_tc_mean,eta_tc_mode,eta_sigma_mean,eta_sigma_mode,eta_rho_exp_mean,eta_rho_exp_mode,eta_q_exp_mean,eta_q_exp_mode,eta_ifn0_mean,eta_ifn0_mode,split,color,filter
7,0.515354,0.579928,0.393511,0.398633,-0.697736,-0.723276,0.16791,0.181848,-1.82777,-1.87187,0.406749,0.405951,0.37573,-0.0474506,0.270658,0.226615,1.74972,1.76727,0.0721507,0.0791224,0.230557,0.204664,All,#4682B4,0
8,-0.682598,-0.739069,-0.319353,-0.330771,0.441776,0.479147,0.157822,0.188523,1.00225,0.932217,-0.167657,-0.159706,-1.44062,-1.44342,-0.857771,-0.831484,-1.18778,-1.20018,-0.180791,-0.210947,-0.121377,-0.0909877,All,#4682B4,0
9,-0.115004,-0.0941774,-0.245091,-0.234283,0.306445,0.283252,-0.122001,-0.0942793,0.797222,0.847111,-0.246729,-0.248868,-0.383854,-0.353948,-0.292102,-0.277579,-0.899359,-0.900182,0.0864276,0.096158,-0.0699019,-0.0504094,All,#4682B4,0
10,0.253381,0.244215,-0.344215,-0.334277,0.243498,0.240051,-0.364218,-0.340643,0.969467,0.982717,-0.225108,-0.220965,1.28679,1.13997,0.806477,0.805158,-0.480871,-0.470174,0.149484,0.145112,-0.11959,-0.131069,All,#4682B4,0
11,-0.760346,-0.807876,-0.624318,-0.623489,0.440171,0.493638,-0.127367,-0.125574,1.5817,1.48393,-0.296445,-0.290374,-1.5217,-1.47204,-0.0907843,-0.0804588,-1.2233,-1.31712,0.0169062,-0.0620958,-0.164112,-0.242106,All,#4682B4,0
12,-0.501399,-0.508308,-0.69895,-0.696434,-0.388911,-0.36185,0.750945,0.767167,1.3164,1.26484,-0.257564,-0.245835,-3.48417,-3.5147,-0.499792,-0.431296,-0.32986,-0.385764,0.769831,0.728727,0.953141,0.954025,All,#4682B4,0
13,1.18764,1.14648,0.47985,0.465584,-0.247124,-0.265055,-0.423157,-0.411455,-1.49672,-1.46527,0.137358,0.143087,3.37277,3.2743,0.956012,0.957615,1.00292,0.990931,0.00121857,-0.0116532,-0.138735,-0.154667,All,#4682B4,0
14,0.0903065,0.0395026,0.309283,0.298027,0.256854,0.264982,-0.212394,-0.192229,0.00685317,-0.0194858,0.0695825,0.082641,1.43209,1.43652,0.249775,0.23927,-0.24937,-0.304413,-0.345433,-0.357198,-0.330759,-0.336178,All,#4682B4,0
15,0.705859,0.724885,0.34855,0.374055,-0.593199,-0.604786,0.116716,0.147359,-0.859204,-0.890934,0.187502,0.191885,2.07898,1.87303,1.58731,1.61249,1.63586,1.63432,0.2418,0.235103,0.411182,0.416818,All,#4682B4,0
16,0.208668,0.193149,0.355181,0.357479,-0.0819991,-0.0666076,-0.136188,-0.112972,-1.29368,-1.27067,0.202173,0.201178,0.620229,0.685939,-0.566219,-0.577929,0.64403,0.671608,-0.25285,-0.27371,-0.256553,-0.245174,All,#4682B4,0
17,-0.329385,-0.330278,0.254816,0.261264,-0.0116632,-0.0160662,0.137127,0.182036,-0.831178,-0.830832,0.241892,0.242253,-1.04901,-1.04913,-0.818204,-0.80755,0.222107,0.214233,-0.310717,-0.305419,-0.1696,-0.159691,All,#4682B4,0
18,-0.816777,-0.828967,-0.314919,-0.319012,0.346255,0.356191,0.243509,0.259402,1.25035,1.2078,-0.1564,-0.150359,-2.21384,-2.19074,-0.828714,-0.823822,-1.19469,-1.22852,-0.0407949,-0.0709792,0.0174233,0.014623,All,#4682B4,0
