ID,eta_beta_exp_mean,eta_beta_exp_mode,eta_delta0_mean,eta_delta0_mode,eta_p_mean,eta_p_mode,eta_td_mean,eta_td_mode,eta_b_exp_mean,eta_b_exp_mode,eta_h_0_mean,eta_h_0_mode,eta_tc_mean,eta_tc_mode,eta_sigma_mean,eta_sigma_mode,eta_rho_exp_mean,eta_rho_exp_mode,eta_q_exp_mean,eta_q_exp_mode,eta_ifn0_mean,eta_ifn0_mode,split,color,filter
7,0.156926,0.51073,0.0594696,0.174341,-0.258919,-0.21497,0.0779667,0.0455781,-1.53474,-1.70162,0.179683,0.17092,-0.763971,-1.75588,0.196884,0.38686,0.370381,0.353955,0,0,0,0,All,#4682B4,0
8,-0.275339,-0.417421,-0.313038,-0.409668,0.232355,0.333742,0.272244,0.342307,0.432887,0.0641949,-0.0167538,-0.0398744,-0.388635,-0.377137,-0.633143,-0.484251,-0.198267,-0.236948,0,0,0,0,All,#4682B4,0
9,0.249245,0.299083,-0.0409151,-0.0108824,0.0996658,0.0541793,-0.153717,-0.110909,0.374332,0.550669,-0.199458,-0.177866,-0.00114368,0.0940013,-0.303916,-0.342218,-0.257794,-0.254816,0,0,0,0,All,#4682B4,0
10,0.292963,0.354919,-0.363597,-0.30935,0.123003,0.148251,-0.270102,-0.246335,1.44665,1.46358,0.0656864,0.0744254,1.6057,1.30985,0.487216,0.57094,-0.0840202,-0.0717062,0,0,0,0,All,#4682B4,0
11,-0.619028,-0.733318,-0.336263,-0.431859,0.0861873,0.116268,-0.30449,-0.212112,0.761684,0.252243,-0.103014,-0.142142,-1.24985,-1.25364,0.629203,0.845814,-0.191894,-0.307709,0,0,0,0,All,#4682B4,0
12,0.182511,0.198249,-0.1917,-0.22435,-0.355398,-0.300311,0.352962,0.401334,0.690495,0.328487,-0.116408,-0.0860342,-3.00848,-3.23759,-0.209197,0.0828574,0.0557491,-0.0488206,0,0,0,0,All,#4682B4,0
13,0.719337,0.664151,0.025453,0.0202149,-0.0753129,-0.142131,-0.158439,-0.153309,-1.11266,-1.09751,-0.131227,-0.114565,2.75204,2.63851,0.22307,0.286009,-0.0825478,-0.0929328,0,0,0,0,All,#4682B4,0
14,-0.0562589,-0.179777,0.270471,0.208089,0.117202,0.0870757,0.00239033,0.0556432,0.630685,0.414181,0.262564,0.298336,1.62793,1.72865,0.116035,0.177284,-0.138429,-0.213242,0,0,0,0,All,#4682B4,0
15,-0.0985049,0.0390832,0.213651,0.308556,-0.165432,-0.139277,0.228822,0.246879,0.140398,-0.0478041,0.0189359,0.0188017,1.37526,0.830743,1.28763,1.51663,0.41438,0.367806,0,0,0,0,All,#4682B4,0
16,-0.0244823,-0.0608079,-0.015368,-0.0568622,0.0600738,0.115904,-0.0793756,-0.019275,-1.10012,-0.944328,-0.172717,-0.189465,0.615871,0.839028,-1.05601,-1.16516,0.243955,0.310731,0,0,0,0,All,#4682B4,0
17,-0.30153,-0.29499,0.141674,0.134213,0.0951544,0.104414,0.0878844,0.182744,-1.24425,-1.29046,0.136755,0.138105,-1.39724,-1.3575,-0.43533,-0.402361,0.0555726,0.0358158,0,0,0,0,All,#4682B4,0
18,-0.297678,-0.331798,0.064766,0.0030504,0.0958431,0.0977702,0.127081,0.180098,0.739314,0.529562,0.139763,0.139779,-1.59381,-1.55718,-0.292497,-0.21854,-0.218022,-0.273118,0,0,0,0,All,#4682B4,0
